Date,Price,Volume
2025-01-03,46.5,8513527
2025-01-02,45.85,14837350
2024-12-31,45.5,4227640
2024-12-30,45.95,19639384
2024-12-27,45.95,33262520
2024-12-24,46.0,15117074
2024-12-23,46.0,34645160
2024-12-20,45.85,60410012
2024-12-19,44.8,9711583
2024-12-18,44.7,15983409
2024-12-17,44.0,13944355
2024-12-16,44.3,12926289
2024-12-13,44.0,14165994
2024-12-12,43.75,4631575
2024-12-11,44.1,21217486
2024-12-10,44.0,12191430
2024-12-09,44.35,11839271
2024-12-06,43.95,4181793
2024-12-05,44.0,17265344
2024-12-04,44.75,9186560
2024-12-03,45.0,10630514
2024-12-02,44.7,17783987
2024-11-29,44.5,5067652
2024-11-28,44.0,14733835
2024-11-27,43.5,3727612
2024-11-26,43.5,3580272
2024-11-25,43.1,9629506
2024-11-22,44.3,10296233
2024-11-21,44.5,22321313
2024-11-20,44.9,14047267
2024-11-19,44.0,6993142
2024-11-18,43.5,9731766
2024-11-15,43.3,30323588
2024-11-14,43.0,16222893
2024-11-13,43.0,6530139
2024-11-12,42.0,13533694
2024-11-11,41.6,9689671
2024-11-08,42.0,3803926
2024-11-07,43.0,12320739
2024-11-06,42.65,20619868
2024-11-05,43.0,46355238
2024-11-04,40.65,15820308
2024-11-01,41.25,40713728
2024-10-31,39.95,11028219
2024-10-30,39.5,23075940
2024-10-29,39.0,22855216
2024-10-28,39.9,7067138
2024-10-25,39.9,18828887
2024-10-24,40.0,25033553
2024-10-23,39.3,16107751
2024-10-22,37.55,11825171
2024-10-21,37.5,14771336
2024-10-18,37.45,27915357
2024-10-17,37.5,20054095
2024-10-16,37.45,11593481
2024-10-15,37.5,30379017
2024-10-14,37.5,34086197
2024-10-11,37.45,19733057
2024-10-10,37.5,25552273
2024-10-09,37.35,11170522
2024-10-08,37.4,7075819
2024-10-07,37.5,9844028
2024-10-04,37.5,12909804
2024-10-03,37.7,19013141
2024-10-02,37.75,35172640
2024-09-30,37.75,21760344
