company,country,exchange,currency,sector,industry,isin,ticker,notes
BANK OF KIGALI RWANDA,RWANDA,,,,,,,
BANQUE CENTRALE POPULAIRE MOROCCO,MOROCCO,,,,,,,
BANQUE DE TUNISIE TUNISIA,TUNISIA,,,,,,,
BANQUE NATIONALE AGRICOLE TUNISIA,TUNISIA,,,,,,,
BELTONE HOLDING EGYPT,EGYPT,,,,,,,
BERGER PAINTS NIGERIA,NIGERIA,,,,,,,
BERNABE IVORY COAST,IVORY COAST,,,,,,,
BHP,SOUTH AFRICA,,,,,,,
BIAT TUNISIA,TUNISIA,,,,,,,
BICI IVORY COAST,IVORY COAST,,,,,,,
BID CORP,SOUTH AFRICA,,,,,,,
BIDVEST,SOUTH AFRICA,,,,,,,
BLUE LABEL TELECOMS,SOUTH AFRICA,,,,,,,
BOTSWANA INSURANCE HOLDINGS,BOTSWANA,,,,,,,
BOTSWANA TELECOMMUNICATIONS CORPORATION,BOTSWANA,,,,,,,
BRALIRWA RWANDA,RWANDA,,,,,,,
BRITAM HOLDINGS KENYA,KENYA,,,,,,,
BRITISH AMERICAN TOBACCO,SOUTH AFRICA,,,,,,,
BRITISH AMERICAN TOBACCO KENYA,KENYA,,,,,,,
BRITISH AMERICAN TOBACCO UGANDA,UGANDA,,,,,,,
BRITISH AMERICAN TOBACCO ZAMBIA,ZAMBIA,,,,,,,
BUA CEMENT NIGERIA,NIGERIA,,,,,,,
BUA FOODS NIGERIA,NIGERIA,,,,,,,
CADBURY NIGERIA,NIGERIA,,,,,,,
CALBANK PLC GHANA,GHANA,,,,,,,
CAP PLC NIGERIA,NIGERIA,,,,,,,
CAPITEC BANK,SOUTH AFRICA,,,,,,,
CEC AFRICA INVESTMENTS ZAMBIA,ZAMBIA,,,,,,,
CENTUM INVESTMENT UG,UGANDA,,,,,,,
CFAO MOTORS IVORY COAST,IVORY COAST,,,,,,,
CHILANGA CEMENT ZAMBIA,ZAMBIA,,,,,,,
CHOPPIES ENTERPRISES BOTSWANA,BOTSWANA,,,,,,,
CIC INSURANCE GROUP KENYA,KENYA,,,,,,,
CIE BENIN,BENIN,,,,,,,
CIH BANK,MOROCCO,,,,,,,
CIMENTS DU MAROC MOROCCO,MOROCCO,,,,,,,
CIMERWA RWANDA,RWANDA,,,,,,,
CLICKS,SOUTH AFRICA,,,,,,,
CO-OPERATIVE BANK KENYA,KENYA,,,,,,,
COMMERCIAL INTERNATIONAL BANK EGYPT,EGYPT,,,,,,,
COPPERBELT ENERGY CORP ZAMBIA,ZAMBIA,,,,,,,
CORIS BANK INTERNATIONAL BURKINA FASO,BURKINA FASO,,,,,,,
CORONATION,NAMIBIA,,,,,,,
CORONATION INSURANCE NIGERIA,NIGERIA,,,,,,,
COSUMAR MOROCCO,MOROCCO,,,,,,,
CRDB BANK PLC TANZANIA,TANZANIA,,,,,,,
CROWN SIEM IVORY COAST,IVORY COAST,,,,,,,
CUSTODIAN INVESTMENT NIGERIA,NIGERIA,,,,,,,
CUTIX PLC NIGERIA,NIGERIA,,,,,,,
DANGOTE CEMENT NIGERIA,NIGERIA,,,,,,,
DANGOTE SUGAR REFINERY NIGERIA,NIGERIA,,,,,,,
DAR ES SALAAM STOCK EXCHANGE PLC,TANZANIA,,,,,,,
DCB COMMERCIAL BANK PLC TANZANIA,TANZANIA,,,,,,,
DÉLICE HOLDING TUNISIA,TUNISIA,,,,,,,
DIAMOND TRUST BANK KENYA,KENYA,,,,,,,
DIS-CHEM PHARMACIES,SOUTH AFRICA,,,,,,,
DISCOVERY HOLDINGS,SOUTH AFRICA,,,,,,,
EAST AFRICAN BREWERIES KENYA,KENYA,,,,,,,
EAST AFRICAN BREWERIES UG,UGANDA,,,,,,,
EAST DELTA FLOUR MILLS EGYPT,EGYPT,,,,,,,
EASTERN TOBACCO EGYPT,EGYPT,,,,,,,
ECOBANK GHANA,GHANA,,,,,,,
ECOBANK IVORY COAST,IVORY COAST,,,,,,,
ECOBANK TRANSITIONAL INC GHANA,GHANA,,,,,,,
EFG HOLDING EGYPT,EGYPT,,,,,,,
EGYPT ALUMINIUM,EGYPT,,,,,,,
EMAAR MISR EGYPT,EGYPT,,,,,,,
EQUITY GROUP HOLDINGS KENYA,KENYA,,,,,,,
ERIUM IVORY COAST,IVORY COAST,,,,,,,
ETERNA PLC NIGERIA,NIGERIA,,,,,,,
