company,rows,file
EXXARO RESOURCES (SOUTH AFRICA),3,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/EXXARO RESOURCES.csv
EFG HOLDING EGYPT (EGYPT),3,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/EFG HOLDING EGYPT.csv
TIGER BRANDS (SOUTH AFRICA),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/TIGER BRANDS.csv
BUA FOODS NIGERIA (NIGERIA),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/BUA FOODS NIGERIA.csv
KUMBA IRON ORE (SOUTH AFRICA),12,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/KUMBA IRON ORE.csv
INVESTEC (SOUTH AFRICA),14,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/INVESTEC.csv
KCB GROUP KENYA (KENYA),18,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/KCB GROUP KENYA.csv
TRUWORTHS INTERNATIONAL LTD (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/TRUWORTHS INTERNATIONAL LTD.csv
STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/STERLING FINANCIAL HOLDINGS NIGERIA.csv
FOSCHINI (SOUTH AFRICA),18,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/FOSCHINI.csv
STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/STANBIC IBTC HOLDINGS NIGERIA.csv
ABU QIR FERTILIZERS EGYPT (EGYPT),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/ABU QIR FERTILIZERS EGYPT.csv
UNILEVER NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/UNILEVER NIGERIA.csv
CUSTODIAN INVESTMENT NIGERIA (NIGERIA),2,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/CUSTODIAN INVESTMENT NIGERIA.csv
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),2,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/PALM HILLS DEVELOPMANT COMPANY EGYPT.csv
SPAR (SOUTH AFRICA),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/SPAR.csv
INTERNATIONAL BREWERIES NIGERIA (NIGERIA),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/INTERNATIONAL BREWERIES NIGERIA.csv
AVI (SOUTH AFRICA),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/AVI.csv
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/SIDI KERIR PETROCHEMICALS EGYPT.csv
LIFE HEALTHCARE (SOUTH AFRICA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/south_africa/LIFE HEALTHCARE.csv
JULIUS BERGER NIGERIA (NIGERIA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/JULIUS BERGER NIGERIA.csv
EASTERN TOBACCO EGYPT (EGYPT),6,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/egypt/EASTERN TOBACCO EGYPT.csv
JAIZ BANK NIGERIA (NIGERIA),2,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/JAIZ BANK NIGERIA.csv
