HistorySet,Original,AfterCleanAlias,NormalizedMatches
AM300,MOBILE TELECOMMUNICATIONS (NAMIBIA),MOBILE TELECOMMUNICATIONS NAMIBIA (NAMIBIA),
AM100,MONDI (SOUTH AFRICA),MONDI SOUTH AFRICA (SOUTH AFRICA),
AM300,MONDI (SOUTH AFRICA),MONDI SOUTH AFRICA (SOUTH AFRICA),
AM100,MR PRICE (SOUTH AFRICA),MR PRICE SOUTH AFRICA (SOUTH AFRICA),
AM300,MR PRICE (SOUTH AFRICA),MR PRICE SOUTH AFRICA (SOUTH AFRICA),
AM200,MTN GHANA (GHANA),MTN GHANA GHANA (GHANA),
AM300,MTN GHANA (GHANA),MTN GHANA GHANA (GHANA),
AM100,MTN NIGERIA (NIGERIA),MTN NIGERIA NIGERIA (NIGERIA),
AM300,MTN NIGERIA (NIGERIA),MTN NIGERIA NIGERIA (NIGERIA),
AM200,MTN RWANDACELL (RWANDA),MTN RWANDACELL RWANDA (RWANDA),
AM300,MTN RWANDACELL (RWANDA),MTN RWANDACELL RWANDA (RWANDA),
AM100,MTN UGANDA (UGANDA),MTN UGANDA UGANDA (UGANDA),
AM200,MTN UGANDA (UGANDA),MTN UGANDA UGANDA (UGANDA),
AM300,MTN UGANDA (UGANDA),MTN UGANDA UGANDA (UGANDA),
AM200,MWALIMU COMMERCIAL BANK (TANZANIA) (TANZANIA),MWALIMU COMMERCIAL BANK TANZANIA,
AM300,MWALIMU COMMERCIAL BANK (TANZANIA) (TANZANIA),MWALIMU COMMERCIAL BANK TANZANIA,
AM200,NAIROBI BUSINESS VENTURES (KENYA) (KENYA),NAIROBI BUSINESS VENTURES KENYA,
AM300,NAIROBI BUSINESS VENTURES (KENYA) (KENYA),NAIROBI BUSINESS VENTURES KENYA,
AM200,NAIROBI SECURITIES EXCHANGE (KENYA) (KENYA),NAIROBI SECURITIES EXCHANGE KENYA,
AM300,NAIROBI SECURITIES EXCHANGE (KENYA) (KENYA),NAIROBI SECURITIES EXCHANGE KENYA,
AM200,NAMIBIA BREWERIES (NAMIBIA),NAMIBIA BREWERIES NAMIBIA (NAMIBIA),
AM300,NAMIBIA BREWERIES (NAMIBIA),NAMIBIA BREWERIES NAMIBIA (NAMIBIA),
AM100,NASCON ALLIED INDUSTRIES NIGERIA (NIGERIA),NASCON ALLIED INDUSTRIES NIGERIA NIGERIA (NIGERIA),
AM200,NASCON ALLIED INDUSTRIES NIGERIA (NIGERIA),NASCON ALLIED INDUSTRIES NIGERIA NIGERIA (NIGERIA),
AM300,NASCON ALLIED INDUSTRIES NIGERIA (NIGERIA),NASCON ALLIED INDUSTRIES NIGERIA NIGERIA (NIGERIA),
AM100,NATION MEDIA GROUP (KENYA) (KENYA),NATION MEDIA GROUP KENYA,
AM200,NATION MEDIA GROUP (KENYA) (KENYA),NATION MEDIA GROUP KENYA,
AM300,NATION MEDIA GROUP (KENYA) (KENYA),NATION MEDIA GROUP KENYA,
AM100,NATIONAL BANK OF MALAWI (MALAWI),NATIONAL BANK OF MALAWI MALAWI (MALAWI),
AM200,NATIONAL BANK OF MALAWI (MALAWI),NATIONAL BANK OF MALAWI MALAWI (MALAWI),
AM300,NATIONAL BANK OF MALAWI (MALAWI),NATIONAL BANK OF MALAWI MALAWI (MALAWI),
AM100,NATIONAL INVESTMENT COMPANY TANZANIA (TANZANIA),NATIONAL INVESTMENT COMPANY TANZANIA TANZANIA (TANZANIA),
AM200,NATIONAL INVESTMENT COMPANY TANZANIA (TANZANIA),NATIONAL INVESTMENT COMPANY TANZANIA TANZANIA (TANZANIA),
AM300,NATIONAL INVESTMENT COMPANY TANZANIA (TANZANIA),NATIONAL INVESTMENT COMPANY TANZANIA TANZANIA (TANZANIA),
AM100,NBS BANK MALAWI (MALAWI),NBS BANK MALAWI MALAWI (MALAWI),
AM200,NBS BANK MALAWI (MALAWI),NBS BANK MALAWI MALAWI (MALAWI),
AM300,NBS BANK MALAWI (MALAWI),NBS BANK MALAWI MALAWI (MALAWI),
AM100,NCBA GROUP KENYA (KENYA),NCBA GROUP KENYA KENYA (KENYA),
AM200,NCBA GROUP KENYA (KENYA),NCBA GROUP KENYA KENYA (KENYA),
AM300,NCBA GROUP KENYA (KENYA),NCBA GROUP KENYA KENYA (KENYA),
AM100,NESTLÉ NIGERIA (NIGERIA),NESTLÉ NIGERIA NIGERIA (NIGERIA),
AM300,NESTLÉ NIGERIA (NIGERIA),NESTLÉ NIGERIA NIGERIA (NIGERIA),
AM200,NEW MAURITIUS HOTELS (MAURITIUS),NEW MAURITIUS HOTELS MAURITIUS (MAURITIUS),
AM300,NEW MAURITIUS HOTELS (MAURITIUS),NEW MAURITIUS HOTELS MAURITIUS (MAURITIUS),
AM100,NICO HOLDINGS MALAWI (MALAWI),NICO HOLDINGS MALAWI MALAWI (MALAWI),
AM200,NICO HOLDINGS MALAWI (MALAWI),NICO HOLDINGS MALAWI MALAWI (MALAWI),
AM300,NICO HOLDINGS MALAWI (MALAWI),NICO HOLDINGS MALAWI MALAWI (MALAWI),
AM100,NIGERIAN BREWERIES (NIGERIA),NIGERIAN BREWERIES NIGERIA (NIGERIA),
