HistorySet,Original,AfterCleanAlias,NormalizedMatches
AM100,ABSA BANK KENYA (KENYA),ABSA BANK KENYA KENYA (KENYA),
AM200,ABSA BANK KENYA (KENYA),ABSA BANK KENYA KENYA (KENYA),
AM300,ABSA BANK KENYA (KENYA),ABSA BANK KENYA KENYA (KENYA),
AM100,ABU DHABI ISLAMIC BANK EGYPT (EGYPT),ABU DHABI ISLAMIC BANK EGYPT EGYPT (EGYPT),
AM200,ABU DHABI ISLAMIC BANK EGYPT (EGYPT),ABU DHABI ISLAMIC BANK EGYPT EGYPT (EGYPT),
AM300,ABU DHABI ISLAMIC BANK EGYPT (EGYPT),ABU DHABI ISLAMIC BANK EGYPT EGYPT (EGYPT),
AM100,ABU QIR FERTILIZERS EGYPT (EGYPT),ABU QIR FERTILIZERS EGYPT EGYPT (EGYPT),
AM200,ABU QIR FERTILIZERS EGYPT (EGYPT),ABU QIR FERTILIZERS EGYPT EGYPT (EGYPT),
AM300,ABU QIR FERTILIZERS EGYPT (EGYPT),ABU QIR FERTILIZERS EGYPT EGYPT (EGYPT),
AM100,AFRICAN RAINBOW MINERALS (SOUTH AFRICA),AFRICAN RAINBOW MINERALS SOUTH AFRICA (SOUTH AFRICA),
AM300,AFRICAN RAINBOW MINERALS (SOUTH AFRICA),AFRICAN RAINBOW MINERALS SOUTH AFRICA (SOUTH AFRICA),
AM100,AFRIPRISE INVESTMENT (TANZANIA) (TANZANIA),AFRIPRISE INVESTMENT TANZANIA,
AM200,AFRIPRISE INVESTMENT (TANZANIA) (TANZANIA),AFRIPRISE INVESTMENT TANZANIA,
AM300,AFRIPRISE INVESTMENT (TANZANIA) (TANZANIA),AFRIPRISE INVESTMENT TANZANIA,
AM100,AIICO INSURANCE NIGERIA (NIGERIA),AIICO INSURANCE NIGERIA NIGERIA (NIGERIA),
AM200,AIICO INSURANCE NIGERIA (NIGERIA),AIICO INSURANCE NIGERIA NIGERIA (NIGERIA),
AM300,AIICO INSURANCE NIGERIA (NIGERIA),AIICO INSURANCE NIGERIA NIGERIA (NIGERIA),
AM100,AIRTEL AFRICA NIGERIA (NIGERIA),AIRTEL AFRICA NIGERIA NIGERIA (NIGERIA),
AM200,AIRTEL AFRICA NIGERIA (NIGERIA),AIRTEL AFRICA NIGERIA NIGERIA (NIGERIA),
AM300,AIRTEL AFRICA NIGERIA (NIGERIA),AIRTEL AFRICA NIGERIA NIGERIA (NIGERIA),
AM100,AIRTEL MALAWI (MALAWI),AIRTEL MALAWI MALAWI (MALAWI),
AM200,AIRTEL MALAWI (MALAWI),AIRTEL MALAWI MALAWI (MALAWI),
AM300,AIRTEL MALAWI (MALAWI),AIRTEL MALAWI MALAWI (MALAWI),
AM200,AIRTEL UGANDA (UGANDA),AIRTEL UGANDA UGANDA (UGANDA),
AM300,AIRTEL UGANDA (UGANDA),AIRTEL UGANDA UGANDA (UGANDA),
AM100,ALEXANDRIA CONTAINERS AND GOODS (EGYPT),ALEXANDRIA CONTAINERS AND GOODS EGYPT (EGYPT),
AM200,ALEXANDRIA CONTAINERS AND GOODS (EGYPT),ALEXANDRIA CONTAINERS AND GOODS EGYPT (EGYPT),
AM300,ALEXANDRIA CONTAINERS AND GOODS (EGYPT),ALEXANDRIA CONTAINERS AND GOODS EGYPT (EGYPT),
AM100,ALEXANDRIA MINERAL OILS EGYPT (EGYPT),ALEXANDRIA MINERAL OILS EGYPT EGYPT (EGYPT),
AM200,ALEXANDRIA MINERAL OILS EGYPT (EGYPT),ALEXANDRIA MINERAL OILS EGYPT EGYPT (EGYPT),
AM300,ALEXANDRIA MINERAL OILS EGYPT (EGYPT),ALEXANDRIA MINERAL OILS EGYPT EGYPT (EGYPT),
AM200,AMEN BANK TUNISIA (TUNISIA),AMEN BANK TUNISIA TUNISIA (TUNISIA),
AM300,AMEN BANK TUNISIA (TUNISIA),AMEN BANK TUNISIA TUNISIA (TUNISIA),
AM100,ARABIAN CEMENT COMPANY (EGYPT),ARABIAN CEMENT COMPANY EGYPT (EGYPT),
AM200,ARABIAN CEMENT COMPANY (EGYPT),ARABIAN CEMENT COMPANY EGYPT (EGYPT),
AM300,ARABIAN CEMENT COMPANY (EGYPT),ARABIAN CEMENT COMPANY EGYPT (EGYPT),
AM100,ARADEL HOLDINGS NIGERIA (NIGERIA),ARADEL HOLDINGS NIGERIA NIGERIA (NIGERIA),
AM300,ARADEL HOLDINGS NIGERIA (NIGERIA),ARADEL HOLDINGS NIGERIA NIGERIA (NIGERIA),
AM200,ASCENCIA MAURITIUS (MAURITIUS),ASCENCIA MAURITIUS MAURITIUS (MAURITIUS),
AM300,ASCENCIA MAURITIUS (MAURITIUS),ASCENCIA MAURITIUS MAURITIUS (MAURITIUS),
AM100,ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),ASPEN PHARMACARE HOLDINGS SOUTH AFRICA (SOUTH AFRICA),
AM300,ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),ASPEN PHARMACARE HOLDINGS SOUTH AFRICA (SOUTH AFRICA),
AM200,ATLANTASANAD MOROCCO (MOROCCO),ATLANTASANAD MOROCCO MOROCCO (MOROCCO),
AM300,ATLANTASANAD MOROCCO (MOROCCO),ATLANTASANAD MOROCCO MOROCCO (MOROCCO),
AM200,ATTIJARI BANK TUNISIA (TUNISIA),ATTIJARI BANK TUNISIA TUNISIA (TUNISIA),
AM300,ATTIJARI BANK TUNISIA (TUNISIA),ATTIJARI BANK TUNISIA TUNISIA (TUNISIA),
AM100,ATTIJARIWAFA BANK MOROCCO (MOROCCO),ATTIJARIWAFA BANK MOROCCO MOROCCO (MOROCCO),
AM200,ATTIJARIWAFA BANK MOROCCO (MOROCCO),ATTIJARIWAFA BANK MOROCCO MOROCCO (MOROCCO),
AM300,ATTIJARIWAFA BANK MOROCCO (MOROCCO),ATTIJARIWAFA BANK MOROCCO MOROCCO (MOROCCO),
AM100,AVI (SOUTH AFRICA),AVI SOUTH AFRICA (SOUTH AFRICA),
AM200,AVI (SOUTH AFRICA),AVI SOUTH AFRICA (SOUTH AFRICA),
AM300,AVI (SOUTH AFRICA),AVI SOUTH AFRICA (SOUTH AFRICA),
AM200,AXA MANSARD NIGERIA (NIGERIA),AXA MANSARD NIGERIA NIGERIA (NIGERIA),
AM300,AXA MANSARD NIGERIA (NIGERIA),AXA MANSARD NIGERIA NIGERIA (NIGERIA),
AM100,BAMBURI CEMENT PLC (KENYA),BAMBURI CEMENT PLC KENYA (KENYA),
AM200,BAMBURI CEMENT PLC (KENYA),BAMBURI CEMENT PLC KENYA (KENYA),
AM300,BAMBURI CEMENT PLC (KENYA),BAMBURI CEMENT PLC KENYA (KENYA),
AM100,BANK OF AFRICA MOROCCO (MOROCCO),BANK OF AFRICA MOROCCO MOROCCO (MOROCCO),
AM200,BANK OF AFRICA MOROCCO (MOROCCO),BANK OF AFRICA MOROCCO MOROCCO (MOROCCO),
AM300,BANK OF AFRICA MOROCCO (MOROCCO),BANK OF AFRICA MOROCCO MOROCCO (MOROCCO),
AM100,BANK OF AFRICA NIGER (NIGER),BANK OF AFRICA NIGER NIGER (NIGER),
AM200,BANK OF AFRICA NIGER (NIGER),BANK OF AFRICA NIGER NIGER (NIGER),
AM300,BANK OF AFRICA NIGER (NIGER),BANK OF AFRICA NIGER NIGER (NIGER),
AM100,BANK OF AFRICA SENEGAL (SENEGAL),BANK OF AFRICA SENEGAL SENEGAL (SENEGAL),
AM200,BANK OF AFRICA SENEGAL (SENEGAL),BANK OF AFRICA SENEGAL SENEGAL (SENEGAL),
AM300,BANK OF AFRICA SENEGAL (SENEGAL),BANK OF AFRICA SENEGAL SENEGAL (SENEGAL),
AM200,BANK OF BARODA (UGANDA) (UGANDA),BANK OF BARODA UGANDA,
AM300,BANK OF BARODA (UGANDA) (UGANDA),BANK OF BARODA UGANDA,
AM200,BANK OF KIGALI RWANDA (RWANDA),BANK OF KIGALI RWANDA RWANDA (RWANDA),
AM300,BANK OF KIGALI RWANDA (RWANDA),BANK OF KIGALI RWANDA RWANDA (RWANDA),
AM100,BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),BANQUE CENTRALE POPULAIRE MOROCCO MOROCCO (MOROCCO),
AM200,BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),BANQUE CENTRALE POPULAIRE MOROCCO MOROCCO (MOROCCO),
AM300,BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),BANQUE CENTRALE POPULAIRE MOROCCO MOROCCO (MOROCCO),
AM200,BANQUE DE TUNISIE TUNISIA (TUNISIA),BANQUE DE TUNISIE TUNISIA TUNISIA (TUNISIA),
AM300,BANQUE DE TUNISIE TUNISIA (TUNISIA),BANQUE DE TUNISIE TUNISIA TUNISIA (TUNISIA),
AM200,BANQUE NATIONALE AGRICOLE TUNISIA (TUNISIA),BANQUE NATIONALE AGRICOLE TUNISIA TUNISIA (TUNISIA),
AM300,BANQUE NATIONALE AGRICOLE TUNISIA (TUNISIA),BANQUE NATIONALE AGRICOLE TUNISIA TUNISIA (TUNISIA),
AM100,BELTONE HOLDING EGYPT (EGYPT),BELTONE HOLDING EGYPT EGYPT (EGYPT),
AM200,BELTONE HOLDING EGYPT (EGYPT),BELTONE HOLDING EGYPT EGYPT (EGYPT),
AM300,BELTONE HOLDING EGYPT (EGYPT),BELTONE HOLDING EGYPT EGYPT (EGYPT),
AM200,BERGER PAINTS NIGERIA (NIGERIA),BERGER PAINTS NIGERIA NIGERIA (NIGERIA),
AM300,BERGER PAINTS NIGERIA (NIGERIA),BERGER PAINTS NIGERIA NIGERIA (NIGERIA),
AM100,BHP (SOUTH AFRICA),BHP SOUTH AFRICA (SOUTH AFRICA),
AM300,BHP (SOUTH AFRICA),BHP SOUTH AFRICA (SOUTH AFRICA),
AM200,BIAT TUNISIA (TUNISIA),BIAT TUNISIA TUNISIA (TUNISIA),
AM300,BIAT TUNISIA (TUNISIA),BIAT TUNISIA TUNISIA (TUNISIA),
AM100,BID CORP (SOUTH AFRICA),BID CORP SOUTH AFRICA (SOUTH AFRICA),
AM300,BID CORP (SOUTH AFRICA),BID CORP SOUTH AFRICA (SOUTH AFRICA),
AM100,BID CORPORATION (SOUTH AFRICA),BID CORPORATION SOUTH AFRICA (SOUTH AFRICA),
AM300,BID CORPORATION (SOUTH AFRICA),BID CORPORATION SOUTH AFRICA (SOUTH AFRICA),
AM200,BLANTYRE HOTELS MALAWI (MALAWI),BLANTYRE HOTELS MALAWI MALAWI (MALAWI),
AM300,BLANTYRE HOTELS MALAWI (MALAWI),BLANTYRE HOTELS MALAWI MALAWI (MALAWI),
AM200,BRALIRWA RWANDA (RWANDA),BRALIRWA RWANDA RWANDA (RWANDA),
AM300,BRALIRWA RWANDA (RWANDA),BRALIRWA RWANDA RWANDA (RWANDA),
AM100,BRITAM HOLDINGS KENYA (KENYA),BRITAM HOLDINGS KENYA KENYA (KENYA),
AM200,BRITAM HOLDINGS KENYA (KENYA),BRITAM HOLDINGS KENYA KENYA (KENYA),
AM300,BRITAM HOLDINGS KENYA (KENYA),BRITAM HOLDINGS KENYA KENYA (KENYA),
AM100,BRITISH AMERICAN TOBACCO KENYA (KENYA),BRITISH AMERICAN TOBACCO KENYA KENYA (KENYA),
AM200,BRITISH AMERICAN TOBACCO KENYA (KENYA),BRITISH AMERICAN TOBACCO KENYA KENYA (KENYA),
AM300,BRITISH AMERICAN TOBACCO KENYA (KENYA),BRITISH AMERICAN TOBACCO KENYA KENYA (KENYA),
AM100,BUA CEMENT NIGERIA (NIGERIA),BUA CEMENT NIGERIA NIGERIA (NIGERIA),
AM200,BUA CEMENT NIGERIA (NIGERIA),BUA CEMENT NIGERIA NIGERIA (NIGERIA),
AM300,BUA CEMENT NIGERIA (NIGERIA),BUA CEMENT NIGERIA NIGERIA (NIGERIA),
AM100,BUA FOODS NIGERIA (NIGERIA),BUA FOODS NIGERIA NIGERIA (NIGERIA),
AM200,BUA FOODS NIGERIA (NIGERIA),BUA FOODS NIGERIA NIGERIA (NIGERIA),
AM300,BUA FOODS NIGERIA (NIGERIA),BUA FOODS NIGERIA NIGERIA (NIGERIA),
AM100,CADBURY NIGERIA (NIGERIA),CADBURY NIGERIA NIGERIA (NIGERIA),
AM200,CADBURY NIGERIA (NIGERIA),CADBURY NIGERIA NIGERIA (NIGERIA),
AM300,CADBURY NIGERIA (NIGERIA),CADBURY NIGERIA NIGERIA (NIGERIA),
AM200,CALBANK PLC GHANA (GHANA),CALBANK PLC GHANA GHANA (GHANA),
AM300,CALBANK PLC GHANA (GHANA),CALBANK PLC GHANA GHANA (GHANA),
AM100,CAP PLC NIGERIA (NIGERIA),CAP PLC NIGERIA NIGERIA (NIGERIA),
AM200,CAP PLC NIGERIA (NIGERIA),CAP PLC NIGERIA NIGERIA (NIGERIA),
AM300,CAP PLC NIGERIA (NIGERIA),CAP PLC NIGERIA NIGERIA (NIGERIA),
AM100,CAPITEC BANK (SOUTH AFRICA),CAPITEC BANK SOUTH AFRICA (SOUTH AFRICA),
AM300,CAPITEC BANK (SOUTH AFRICA),CAPITEC BANK SOUTH AFRICA (SOUTH AFRICA),
AM200,CAPRICORN INVESTMENT (NAMIBIA),CAPRICORN INVESTMENT NAMIBIA (NAMIBIA),
AM300,CAPRICORN INVESTMENT (NAMIBIA),CAPRICORN INVESTMENT NAMIBIA (NAMIBIA),
AM200,CARBACID INVESTMENTS (KENYA) (KENYA),CARBACID INVESTMENTS KENYA,
AM300,CARBACID INVESTMENTS (KENYA) (KENYA),CARBACID INVESTMENTS KENYA,
AM200,CEIL MAURITIUS (MAURITIUS),CEIL MAURITIUS MAURITIUS (MAURITIUS),
AM300,CEIL MAURITIUS (MAURITIUS),CEIL MAURITIUS MAURITIUS (MAURITIUS),
AM100,CENTUM INVESTMENT (KENYA) (KENYA),CENTUM INVESTMENT KENYA,
AM200,CENTUM INVESTMENT (KENYA) (KENYA),CENTUM INVESTMENT KENYA,
AM300,CENTUM INVESTMENT (KENYA) (KENYA),CENTUM INVESTMENT KENYA,
AM200,CHILANGA CEMENT ZAMBIA (ZAMBIA),CHILANGA CEMENT ZAMBIA ZAMBIA (ZAMBIA),
AM300,CHILANGA CEMENT ZAMBIA (ZAMBIA),CHILANGA CEMENT ZAMBIA ZAMBIA (ZAMBIA),
AM100,CHOPPIES ENTERPRISES LIMITED (SOUTH AFRICA),CHOPPIES ENTERPRISES LIMITED SOUTH AFRICA (SOUTH AFRICA),
AM200,CHOPPIES ENTERPRISES LIMITED (SOUTH AFRICA),CHOPPIES ENTERPRISES LIMITED SOUTH AFRICA (SOUTH AFRICA),
AM300,CHOPPIES ENTERPRISES LIMITED (SOUTH AFRICA),CHOPPIES ENTERPRISES LIMITED SOUTH AFRICA (SOUTH AFRICA),
AM100,CIC INSURANCE GROUP KENYA (KENYA),CIC INSURANCE GROUP KENYA KENYA (KENYA),
AM200,CIC INSURANCE GROUP KENYA (KENYA),CIC INSURANCE GROUP KENYA KENYA (KENYA),
AM300,CIC INSURANCE GROUP KENYA (KENYA),CIC INSURANCE GROUP KENYA KENYA (KENYA),
AM200,CIH BANK (MOROCCO),CIH BANK MOROCCO (MOROCCO),
AM300,CIH BANK (MOROCCO),CIH BANK MOROCCO (MOROCCO),
AM200,CIM FINANCIAL SERVICES MAURITIUS (MAURITIUS),CIM FINANCIAL SERVICES MAURITIUS MAURITIUS (MAURITIUS),
AM300,CIM FINANCIAL SERVICES MAURITIUS (MAURITIUS),CIM FINANCIAL SERVICES MAURITIUS MAURITIUS (MAURITIUS),
AM100,CIMENTS DU MAROC MOROCCO (MOROCCO),CIMENTS DU MAROC MOROCCO MOROCCO (MOROCCO),
AM200,CIMENTS DU MAROC MOROCCO (MOROCCO),CIMENTS DU MAROC MOROCCO MOROCCO (MOROCCO),
AM300,CIMENTS DU MAROC MOROCCO (MOROCCO),CIMENTS DU MAROC MOROCCO MOROCCO (MOROCCO),
AM100,CLICKS (SOUTH AFRICA),CLICKS SOUTH AFRICA (SOUTH AFRICA),
AM300,CLICKS (SOUTH AFRICA),CLICKS SOUTH AFRICA (SOUTH AFRICA),
AM100,CO-OPERATIVE BANK KENYA (KENYA),CO-OPERATIVE BANK KENYA KENYA (KENYA),
AM200,CO-OPERATIVE BANK KENYA (KENYA),CO-OPERATIVE BANK KENYA KENYA (KENYA),
AM300,CO-OPERATIVE BANK KENYA (KENYA),CO-OPERATIVE BANK KENYA KENYA (KENYA),
AM100,COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),COMMERCIAL INTERNATIONAL BANK EGYPT EGYPT (EGYPT),
AM300,COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),COMMERCIAL INTERNATIONAL BANK EGYPT EGYPT (EGYPT),
AM200,COPPERBELT ENERGY CORP ZAMBIA (ZAMBIA),COPPERBELT ENERGY CORP ZAMBIA ZAMBIA (ZAMBIA),
AM300,COPPERBELT ENERGY CORP ZAMBIA (ZAMBIA),COPPERBELT ENERGY CORP ZAMBIA ZAMBIA (ZAMBIA),
AM100,CORONATION (NAMIBIA),CORONATION NAMIBIA (NAMIBIA),
AM200,CORONATION (NAMIBIA),CORONATION NAMIBIA (NAMIBIA),
AM300,CORONATION (NAMIBIA),CORONATION NAMIBIA (NAMIBIA),
AM200,CORONATION INSURANCE NIGERIA (NIGERIA),CORONATION INSURANCE NIGERIA NIGERIA (NIGERIA),
AM300,CORONATION INSURANCE NIGERIA (NIGERIA),CORONATION INSURANCE NIGERIA NIGERIA (NIGERIA),
AM100,COSUMAR MOROCCO (MOROCCO),COSUMAR MOROCCO MOROCCO (MOROCCO),
AM200,COSUMAR MOROCCO (MOROCCO),COSUMAR MOROCCO MOROCCO (MOROCCO),
AM300,COSUMAR MOROCCO (MOROCCO),COSUMAR MOROCCO MOROCCO (MOROCCO),
AM100,CRDB BANK PLC TANZANIA (TANZANIA),CRDB BANK PLC TANZANIA TANZANIA (TANZANIA),
AM200,CRDB BANK PLC TANZANIA (TANZANIA),CRDB BANK PLC TANZANIA TANZANIA (TANZANIA),
AM300,CRDB BANK PLC TANZANIA (TANZANIA),CRDB BANK PLC TANZANIA TANZANIA (TANZANIA),
AM100,CUSTODIAN INVESTMENT NIGERIA (NIGERIA),CUSTODIAN INVESTMENT NIGERIA NIGERIA (NIGERIA),
AM200,CUSTODIAN INVESTMENT NIGERIA (NIGERIA),CUSTODIAN INVESTMENT NIGERIA NIGERIA (NIGERIA),
AM300,CUSTODIAN INVESTMENT NIGERIA (NIGERIA),CUSTODIAN INVESTMENT NIGERIA NIGERIA (NIGERIA),
AM200,CUTIX PLC NIGERIA (NIGERIA),CUTIX PLC NIGERIA NIGERIA (NIGERIA),
AM300,CUTIX PLC NIGERIA (NIGERIA),CUTIX PLC NIGERIA NIGERIA (NIGERIA),
AM100,DANGOTE CEMENT NIGERIA (NIGERIA),DANGOTE CEMENT NIGERIA NIGERIA (NIGERIA),
AM200,DANGOTE CEMENT NIGERIA (NIGERIA),DANGOTE CEMENT NIGERIA NIGERIA (NIGERIA),
AM300,DANGOTE CEMENT NIGERIA (NIGERIA),DANGOTE CEMENT NIGERIA NIGERIA (NIGERIA),
AM100,DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),DANGOTE SUGAR REFINERY NIGERIA NIGERIA (NIGERIA),
AM200,DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),DANGOTE SUGAR REFINERY NIGERIA NIGERIA (NIGERIA),
AM300,DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),DANGOTE SUGAR REFINERY NIGERIA NIGERIA (NIGERIA),
AM100,DAR ES SALAAM STOCK EXCHANGE PLC (TANZANIA),DAR ES SALAAM STOCK EXCHANGE PLC TANZANIA (TANZANIA),
AM200,DAR ES SALAAM STOCK EXCHANGE PLC (TANZANIA),DAR ES SALAAM STOCK EXCHANGE PLC TANZANIA (TANZANIA),
AM300,DAR ES SALAAM STOCK EXCHANGE PLC (TANZANIA),DAR ES SALAAM STOCK EXCHANGE PLC TANZANIA (TANZANIA),
AM200,DCB COMMERCIAL BANK PLC TANZANIA (TANZANIA),DCB COMMERCIAL BANK PLC TANZANIA TANZANIA (TANZANIA),
AM300,DCB COMMERCIAL BANK PLC TANZANIA (TANZANIA),DCB COMMERCIAL BANK PLC TANZANIA TANZANIA (TANZANIA),
AM100,DELTA CORPORATION LIMITED (ZIMBABWE),DELTA CORPORATION LIMITED ZIMBABWE (ZIMBABWE),
AM200,DELTA CORPORATION LIMITED (ZIMBABWE),DELTA CORPORATION LIMITED ZIMBABWE (ZIMBABWE),
AM300,DELTA CORPORATION LIMITED (ZIMBABWE),DELTA CORPORATION LIMITED ZIMBABWE (ZIMBABWE),
AM200,DÉLICE HOLDING TUNISIA (TUNISIA),DÉLICE HOLDING TUNISIA TUNISIA (TUNISIA),
AM300,DÉLICE HOLDING TUNISIA (TUNISIA),DÉLICE HOLDING TUNISIA TUNISIA (TUNISIA),
AM100,DIAMOND TRUST BANK KENYA (KENYA),DIAMOND TRUST BANK KENYA KENYA (KENYA),
AM200,DIAMOND TRUST BANK KENYA (KENYA),DIAMOND TRUST BANK KENYA KENYA (KENYA),
AM300,DIAMOND TRUST BANK KENYA (KENYA),DIAMOND TRUST BANK KENYA KENYA (KENYA),
AM100,DIS-CHEM PHARMACIES (SOUTH AFRICA),DIS-CHEM PHARMACIES SOUTH AFRICA (SOUTH AFRICA),
AM200,DIS-CHEM PHARMACIES (SOUTH AFRICA),DIS-CHEM PHARMACIES SOUTH AFRICA (SOUTH AFRICA),
AM300,DIS-CHEM PHARMACIES (SOUTH AFRICA),DIS-CHEM PHARMACIES SOUTH AFRICA (SOUTH AFRICA),
AM100,DISCOVERY HOLDINGS (SOUTH AFRICA),DISCOVERY HOLDINGS SOUTH AFRICA (SOUTH AFRICA),
AM300,DISCOVERY HOLDINGS (SOUTH AFRICA),DISCOVERY HOLDINGS SOUTH AFRICA (SOUTH AFRICA),
AM100,DOUJA PROMOTION GROUPE ADDOHA S.A. (MOROCCO),DOUJA PROMOTION GROUPE ADDOHA S.A. MOROCCO (MOROCCO),
AM200,DOUJA PROMOTION GROUPE ADDOHA S.A. (MOROCCO),DOUJA PROMOTION GROUPE ADDOHA S.A. MOROCCO (MOROCCO),
AM300,DOUJA PROMOTION GROUPE ADDOHA S.A. (MOROCCO),DOUJA PROMOTION GROUPE ADDOHA S.A. MOROCCO (MOROCCO),
AM100,EAST AFRICAN BREWERIES KENYA (KENYA),EAST AFRICAN BREWERIES KENYA KENYA (KENYA),
AM200,EAST AFRICAN BREWERIES KENYA (KENYA),EAST AFRICAN BREWERIES KENYA KENYA (KENYA),
AM300,EAST AFRICAN BREWERIES KENYA (KENYA),EAST AFRICAN BREWERIES KENYA KENYA (KENYA),
AM200,EAST DELTA FLOUR MILLS EGYPT (EGYPT),EAST DELTA FLOUR MILLS EGYPT EGYPT (EGYPT),
AM300,EAST DELTA FLOUR MILLS EGYPT (EGYPT),EAST DELTA FLOUR MILLS EGYPT EGYPT (EGYPT),
AM100,EASTERN TOBACCO EGYPT (EGYPT),EASTERN TOBACCO EGYPT EGYPT (EGYPT),
AM200,EASTERN TOBACCO EGYPT (EGYPT),EASTERN TOBACCO EGYPT EGYPT (EGYPT),
AM300,EASTERN TOBACCO EGYPT (EGYPT),EASTERN TOBACCO EGYPT EGYPT (EGYPT),
AM200,ECOBANK GHANA (GHANA),ECOBANK GHANA GHANA (GHANA),
AM300,ECOBANK GHANA (GHANA),ECOBANK GHANA GHANA (GHANA),
AM100,EDITA FOOD INDUSTRIES COMPANY (EGYPT),EDITA FOOD INDUSTRIES COMPANY EGYPT (EGYPT),
AM200,EDITA FOOD INDUSTRIES COMPANY (EGYPT),EDITA FOOD INDUSTRIES COMPANY EGYPT (EGYPT),
AM300,EDITA FOOD INDUSTRIES COMPANY (EGYPT),EDITA FOOD INDUSTRIES COMPANY EGYPT (EGYPT),
AM100,EFG HOLDING EGYPT (EGYPT),EFG HOLDING EGYPT EGYPT (EGYPT),
AM200,EFG HOLDING EGYPT (EGYPT),EFG HOLDING EGYPT EGYPT (EGYPT),
AM300,EFG HOLDING EGYPT (EGYPT),EFG HOLDING EGYPT EGYPT (EGYPT),
AM100,EGYPT ALUMINIUM (EGYPT),EGYPT ALUMINIUM EGYPT (EGYPT),
AM200,EGYPT ALUMINIUM (EGYPT),EGYPT ALUMINIUM EGYPT (EGYPT),
AM300,EGYPT ALUMINIUM (EGYPT),EGYPT ALUMINIUM EGYPT (EGYPT),
AM100,EL SEWEDY ELECTRIC (EGYPT),EL SEWEDY ELECTRIC EGYPT (EGYPT),
AM200,EL SEWEDY ELECTRIC (EGYPT),EL SEWEDY ELECTRIC EGYPT (EGYPT),
AM300,EL SEWEDY ELECTRIC (EGYPT),EL SEWEDY ELECTRIC EGYPT (EGYPT),
AM100,EMAAR MISR EGYPT (EGYPT),EMAAR MISR EGYPT EGYPT (EGYPT),
AM200,EMAAR MISR EGYPT (EGYPT),EMAAR MISR EGYPT EGYPT (EGYPT),
AM300,EMAAR MISR EGYPT (EGYPT),EMAAR MISR EGYPT EGYPT (EGYPT),
AM200,ENL LIMITED MAURITIUS (MAURITIUS),ENL LIMITED MAURITIUS MAURITIUS (MAURITIUS),
AM300,ENL LIMITED MAURITIUS (MAURITIUS),ENL LIMITED MAURITIUS MAURITIUS (MAURITIUS),
AM200,ENTERPRISE GROUP PLC (GHANA),ENTERPRISE GROUP PLC GHANA (GHANA),
AM300,ENTERPRISE GROUP PLC (GHANA),ENTERPRISE GROUP PLC GHANA (GHANA),
AM100,EQUITY GROUP HOLDINGS KENYA (KENYA),EQUITY GROUP HOLDINGS KENYA KENYA (KENYA),
AM200,EQUITY GROUP HOLDINGS KENYA (KENYA),EQUITY GROUP HOLDINGS KENYA KENYA (KENYA),
AM300,EQUITY GROUP HOLDINGS KENYA (KENYA),EQUITY GROUP HOLDINGS KENYA KENYA (KENYA),
AM100,ETERNA PLC NIGERIA (NIGERIA),ETERNA PLC NIGERIA NIGERIA (NIGERIA),
AM200,ETERNA PLC NIGERIA (NIGERIA),ETERNA PLC NIGERIA NIGERIA (NIGERIA),
AM300,ETERNA PLC NIGERIA (NIGERIA),ETERNA PLC NIGERIA NIGERIA (NIGERIA),
AM200,EVEREADY EAST AFRICA KENYA (KENYA),EVEREADY EAST AFRICA KENYA KENYA (KENYA),
AM300,EVEREADY EAST AFRICA KENYA (KENYA),EVEREADY EAST AFRICA KENYA KENYA (KENYA),
AM100,EXPORT DEVELOPMENT BANK OF (EGYPT),EXPORT DEVELOPMENT BANK OF EGYPT (EGYPT),
AM200,EXPORT DEVELOPMENT BANK OF (EGYPT),EXPORT DEVELOPMENT BANK OF EGYPT (EGYPT),
AM300,EXPORT DEVELOPMENT BANK OF (EGYPT),EXPORT DEVELOPMENT BANK OF EGYPT (EGYPT),
AM100,EXXARO RESOURCES (SOUTH AFRICA),EXXARO RESOURCES SOUTH AFRICA (SOUTH AFRICA),
AM300,EXXARO RESOURCES (SOUTH AFRICA),EXXARO RESOURCES SOUTH AFRICA (SOUTH AFRICA),
AM200,FAN MILK PLC (GHANA),FAN MILK PLC GHANA (GHANA),
AM300,FAN MILK PLC (GHANA),FAN MILK PLC GHANA (GHANA),
AM100,FAWRY EGYPT (EGYPT),FAWRY EGYPT EGYPT (EGYPT),
AM200,FAWRY EGYPT (EGYPT),FAWRY EGYPT EGYPT (EGYPT),
AM300,FAWRY EGYPT (EGYPT),FAWRY EGYPT EGYPT (EGYPT),
AM100,FCMB GROUP NIGERIA (NIGERIA),FCMB GROUP NIGERIA NIGERIA (NIGERIA),
AM200,FCMB GROUP NIGERIA (NIGERIA),FCMB GROUP NIGERIA NIGERIA (NIGERIA),
