Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
DISCOVERY HOLDINGS (SOUTH AFRICA),OK,10238618.559166377,6.028744222093056,86,10238618.559166377,10238618.559166377,2047723.7118332756,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,10238618.559166377,35.0,True,2020-07-31
REMGRO (SOUTH AFRICA),OK,9893623.387718657,5.646433612887155,86,9893623.387718657,9893623.387718657,1978724.6775437314,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,9893623.387718657,36.0,True,2020-07-31
WOOLWORTHS HOLDINGS (SOUTH AFRICA),OK,9798267.070765669,1.908669858931422,86,9798267.070765669,9798267.070765669,1959653.4141531338,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,9798267.070765669,37.0,True,2020-07-31
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),OK,9787271.007518709,4.003299900134602,82,9787271.007518709,9787271.007518709,1957454.2015037418,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,9787271.007518709,38.0,True,2020-07-31
GROWTHPOINT PROPERTIES (SOUTH AFRICA),OK,8827767.464915933,0.7698109551883529,86,8827767.464915933,8827767.464915933,1765553.4929831866,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,8827767.464915933,39.0,True,2020-07-31
SPAR (SOUTH AFRICA),OK,8629307.33944758,9.895098120623322,86,8629307.33944758,8629307.33944758,1725861.4678895161,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,8629307.33944758,40.0,True,2020-07-31
REINET INVEST (SOUTH AFRICA),OK,7627828.422457042,17.56264588926716,86,7627828.422457042,7627828.422457042,1525565.6844914085,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,7627828.422457042,41.0,True,2020-07-31
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),OK,7583745.044148532,9.753821952817221,86,7583745.044148532,7583745.044148532,1516749.0088297063,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,7583745.044148532,42.0,True,2020-07-31
TIGER BRANDS (SOUTH AFRICA),OK,6768196.773472848,10.22320481238525,86,6768196.773472848,6768196.773472848,1353639.3546945697,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,6768196.773472848,43.0,True,2020-07-31
TRUWORTHS INT (SOUTH AFRICA),OK,6609095.065209234,1.961143864116546,86,6609095.065209234,6609095.065209234,1321819.013041847,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,6609095.065209234,44.0,True,2020-07-31
INVESTEC (SOUTH AFRICA),OK,6006196.207070054,1.867728602138633,86,6006196.207070054,6006196.207070054,1201239.2414140108,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,6006196.207070054,45.0,True,2020-07-31
AVI (SOUTH AFRICA),OK,4252234.755877086,3.919404541135007,86,4252234.755877086,4252234.755877086,850446.9511754173,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,4252234.755877086,46.0,True,2020-07-31
