Rank,Company,Country,Liquidity,AvgDailyValue30d
87.0,JULIUS BERGER NIGERIA (NIGERIA),NIGERIA,32319314.43346293,80574468.11666659
88.0,EASTERN TOBACCO EGYPT (EGYPT),EGYPT,32157237.749873765,80170398.82239997
89.0,JAIZ BANK NIGERIA (NIGERIA),NIGERIA,31797680.698601663,79273996.2015
90.0,ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),EGYPT,31432912.785235185,78364602.51166667
91.0,ATTIJARIWAFA BANK MOROCCO (MOROCCO),MOROCCO,31038425.274074063,69836456.86666664
92.0,CADBURY NIGERIA (NIGERIA),NIGERIA,29747488.686485358,74162714.1768333
93.0,HONEYWELL FLOUR MILLS NIGERIA (NIGERIA),NIGERIA,29175458.876294024,72736601.0766333
94.0,EGYPT ALUMINIUM (EGYPT),EGYPT,28736090.195081107,71641222.093
95.0,TELECOM EGYPT (EGYPT),EGYPT,28317419.278248888,70597444.184
96.0,BANK OF KIGALI RWANDA (RWANDA),RWANDA,26614263.75999998,54314823.99999996
97.0,RAYA HOLDING EGYPT (EGYPT),EGYPT,25291289.451737095,63053076.195466444
98.0,ALEXANDRIA MINERAL OILS EGYPT (EGYPT),EGYPT,24562211.328052994,61235429.90373323
99.0,EAST AFRICAN BREWERIES KENYA (KENYA),KENYA,22375555.13025,45664398.225
100.0,DIS-CHEM PHARMACIES (SOUTH AFRICA),SOUTH AFRICA,22145124.57715555,41178950.66
