Company,CoveragePct,FirstValidDate,LastValidDate,LargeGapCount,MaxGapDays,LatestAvgDailyUSDLiquidity,MeanAvgDailyUSDLiquidity,LiquidityTier,LatestRank,AM100,AM200,AM300,Status,Reason
MARIDIVE OIL SERVICE EGYPT (EGYPT),0.6416911961466417,2016-04-10,2026-03-25,0,10,3873.1349630709524,5180.414474373829,Below AM300-scale,275.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
TOL GASES TANZANIA (TANZANIA),0.6556061011506557,2016-04-11,2026-03-25,0,5,3745.191846290262,1175.2786959646025,Below AM300-scale,276.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
ZAMBIA SUGAR (ZAMBIA),0.639015252876639,2016-04-12,2026-03-25,1,42,3491.104168253073,2203.151742819604,Below AM300-scale,277.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
LIBERTY KENYA HOLDINGS (KENYA),0.6612255820176612,2016-04-11,2026-03-25,0,6,3119.498214807007,1111.9270878444706,Below AM300-scale,278.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
SIC INSURANCE (GHANA),0.6449023280706448,2016-03-30,2026-03-24,0,8,2901.401217042859,459.7720947053204,Below AM300-scale,279.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
SUN RESORTS LIMITED MAURITIUS (MAURITIUS),0.651056997591651,2016-04-01,2026-03-25,0,18,2714.9839917418612,13510.577306205012,Below AM300-scale,280.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
EVEREADY EAST AFRICA KENYA (KENYA),0.6617607706716617,2016-04-11,2026-03-25,0,6,2669.282777175936,227.85102481000493,Below AM300-scale,281.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
LETSHEGO HOLDINGS (NAMIBIA),0.09124966550709125,2019-09-26,2026-03-25,2,57,2614.838523450095,4641.787524710259,Below AM300-scale,282.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale; below_am300_coverage
BRITISH AMERICAN TOBACCO ZAMBIA (ZAMBIA),0.6363393096066363,2016-04-25,2026-03-25,1,36,2428.924428359176,2016.0475839709347,Below AM300-scale,283.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
REPUBLIC BANK (GHANA),0.6368744982606369,2016-04-13,2026-03-25,0,19,2392.1897296830653,484.6342025247812,Below AM300-scale,284.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
ZCCM INVESTMENTS HOLDINGS ZAMBIA (ZAMBIA),0.6296494514316296,2016-04-26,2026-03-25,3,58,2203.98262311764,1371.789027031654,Below AM300-scale,285.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
ASCENCIA MAURITIUS (MAURITIUS),0.6422263848006422,2016-04-12,2026-03-25,0,18,2137.7399584350005,11781.722696089486,Below AM300-scale,286.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
ZIMBABWE STOCK EXCHANGE HOLDINGS (ZIMBABWE),0.04682900722504683,2025-07-11,2026-03-20,0,5,2015.6732670708918,1039.585766795997,Below AM300-scale,287.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale; below_am300_coverage
NAIROBI BUSINESS VENTURES KENYA (KENYA),0.6483810543216484,2016-06-22,2026-03-25,0,6,1919.9417951571272,984.5000943598914,Below AM300-scale,288.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
MWALIMU COMMERCIAL BANK TANZANIA (TANZANIA),0.633930960663634,2016-08-11,2026-03-25,0,5,1918.0817698677424,246.73580256700095,Below AM300-scale,289.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
INTRAVENOUS INFUSIONS (GHANA),0.6395504415306396,2016-04-12,2026-03-25,0,14,1641.3623307345042,189.04317935787898,Below AM300-scale,290.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
SCANGROUP KENYA (KENYA),0.6606903933636606,2016-04-11,2026-03-25,0,6,1628.6853053450143,3577.163473267952,Below AM300-scale,291.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
AIRTEL UGANDA (UGANDA),0.15707786994915707,2023-11-07,2026-03-19,0,5,1355.7723359613553,623.7278981809475,Below AM300-scale,292.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale; below_am300_coverage
BLANTYRE HOTELS MALAWI (MALAWI),0.6387476585496388,2016-04-18,2026-03-25,1,111,1348.4522826819582,1660.919268917545,Below AM300-scale,293.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
IM BANK (RWANDA),0.5881723307465881,2017-03-31,2026-03-25,0,7,1000.4975508921268,1109.6079731303764,Below AM300-scale,294.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale; below_am300_coverage
STANDARD CHARTERED BANK ZAMBIA (ZAMBIA),0.6414236018196414,2016-03-29,2026-03-25,0,22,981.833049117146,1757.7959619096753,Below AM300-scale,295.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
PRECISION AIR SERVICES TANZANIA (TANZANIA),0.6553385068236554,2016-04-11,2026-03-25,0,5,835.6075695371343,118.54153370713861,Below AM300-scale,296.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
PUMA ENERGY ZAMBIA (ZAMBIA),0.6384800642226385,2016-04-04,2026-03-25,0,23,757.9575545260391,727.6805412692523,Below AM300-scale,297.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
ZAMBIA BATA SHOE (ZAMBIA),0.6368744982606369,2016-04-21,2026-03-25,1,66,677.3140646973959,722.9320792829523,Below AM300-scale,298.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
ZAMBIAN BREWERIES (ZAMBIA),0.639015252876639,2016-04-21,2026-03-25,0,20,676.2733132596419,1057.337622873363,Below AM300-scale,299.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
BAMBURI CEMENT PLC (KENYA),0.6556061011506557,2016-04-11,2026-03-25,0,8,630.3501945525292,24419.975913656548,Below AM300-scale,300.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
CEC AFRICA INVESTMENT ZAMBIA (ZAMBIA),0.5536526625635536,2017-11-03,2026-03-25,0,7,534.9252461900671,441.1901829017838,Below AM300-scale,301.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale; below_am300_coverage
LONGHORN KENYA (KENYA),0.6617607706716617,2016-04-11,2026-03-25,0,6,526.7304546897356,696.705958164864,Below AM300-scale,302.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
DOT COM ZAMBIA (ZAMBIA),0.01792881990901793,2025-12-17,2026-03-25,0,4,516.2214454896214,3142.3934951595775,Below AM300-scale,303.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale; below_am300_coverage
MUCOBA BANK TANZANIA (TANZANIA),0.633930960663634,2016-08-11,2026-03-25,0,5,390.6485325676955,128.3880532951858,Below AM300-scale,304.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
BRITISH AMERICAN TOBACCO UGANDA (UGANDA),0.6355365266256355,2016-03-24,2026-03-19,2,72,357.3184536400745,15462.131903625008,Below AM300-scale,305.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
TANZANIA TEA PACKERS (TANZANIA),0.6553385068236554,2016-04-11,2026-03-25,0,5,276.18376175300307,43.35363233233562,Below AM300-scale,306.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
SHOPRITE HOLDINGS ZAMBIA (ZAMBIA),0.6363393096066363,2016-04-25,2026-03-25,1,60,242.24710317606733,1817.866590813082,Below AM300-scale,307.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
ICON PROPERTIES MALAWI (MALAWI),0.47578271340647577,2019-01-21,2026-03-25,0,5,174.39304421801788,1794.1529158616086,Below AM300-scale,308.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale; below_am300_coverage
ALUWORKS LIMITED (GHANA),0.6366069039336366,2016-04-11,2026-03-25,0,22,113.13742437337916,255.54256027080905,Below AM300-scale,309.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
CIMERWA RWANDA (RWANDA),0.3708857372223709,2020-08-03,2026-03-25,0,7,110.4781633005351,551.1428318985091,Below AM300-scale,310.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale; below_am300_coverage
REAL ESTATE INVESTMENTS ZAMBIA (ZAMBIA),0.6403532245116403,2016-04-19,2026-03-25,0,22,76.78766926626926,1133.3212314119955,Below AM300-scale,311.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
CLYDESTONE GHANA PLC (GHANA),0.6320578003746321,2016-04-13,2026-03-25,1,94,61.89979666916243,13.990353198263906,Below AM300-scale,312.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
STARAFRICACORPORATION (ZIMBABWE),0.6398180358576399,2016-03-31,2026-03-20,1,38,40.48870185645155,1161521.3241669605,Below AM300-scale,313.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
COCOA PROCESSING COMPANY LIMITED (GHANA),0.6358041209526358,2016-04-14,2026-03-25,0,26,40.38050619970859,18.902850916997878,Below AM300-scale,314.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
AGRICULTURAL DEVELOPMENT BANK GHANA (GHANA),0.6087770939256087,2016-12-09,2026-03-24,0,6,20.833602125196695,39.31930153317471,Below AM300-scale,315.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
MADISON FINANCIAL SERVICES (ZAMBIA),0.6440995450896441,2016-03-29,2026-03-25,0,28,19.530564520445985,251.4080950748116,Below AM300-scale,316.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
CAMELOT GHANA LIMITED (GHANA),0.6315226117206315,2016-06-14,2026-03-25,1,48,6.36942675159235,23.85201762529986,Below AM300-scale,317.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps; below_am300_scale
MEGA AFRICAN CAPITAL LIMITED (GHANA),0.6307198287396307,2016-08-11,2026-03-25,0,6,3.235056098442953,21.725709056577752,Below AM300-scale,318.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
CENTUM INVESTMENT UG (UGANDA),0.6341985549906342,2016-08-11,2026-03-19,0,6,0.2616900253551141,765.6087865246537,Below AM300-scale,319.0,False,False,False,Excluded,coverage_below_95pct; starts_after_2016; below_am300_scale
