Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),OK,6292655.221301473,2.160334579196188,86,6292655.221301473,6292655.221301473,1258531.0442602946,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,6292655.221301473,44.0
KUMBA IRON ORE (SOUTH AFRICA),OK,6000482.902529971,21.19104719604646,85,6000482.902529971,6000482.902529971,1200096.5805059941,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,6000482.902529971,45.0
BELTONE HOLDING EGYPT (EGYPT),ZERO_CONFIRMED,5708532.137400225,0.07173149767816468,86,5708532.137400225,5708532.137400225,1141706.427480045,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,5708532.137400225,46.0
MARSA MAROC MOROCCO (MOROCCO),OK,5420773.640564676,107.5181074640089,85,5420773.640564676,5420773.640564676,1084154.7281129353,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,5420773.640564676,47.0
ATTIJARIWAFA BANK MOROCCO (MOROCCO),OK,5398472.380160305,82.63049500997147,85,5398472.380160305,5398472.380160305,1079694.476032061,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,5398472.380160305,48.0
TRUWORTHS INT (SOUTH AFRICA),OK,5163132.750531305,3.436467603460733,85,5163132.750531305,5163132.750531305,1032626.5501062609,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,5163132.750531305,49.0
EXXARO RESOURCES (SOUTH AFRICA),OK,5073422.039710659,10.80498333074778,85,5073422.039710659,5073422.039710659,1014684.4079421317,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,5073422.039710659,50.0
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),OK,4393945.536134313,12.00620773455717,85,4393945.536134313,4393945.536134313,878789.1072268626,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,4393945.536134313,51.0
BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),OK,3546366.8615173963,32.82131701532903,85,3546366.8615173963,3546366.8615173963,709273.3723034794,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,3546366.8615173963,52.0
SPAR (SOUTH AFRICA),OK,3519175.64071834,5.764669877577727,85,3519175.64071834,3519175.64071834,703835.1281436681,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,3519175.64071834,53.0
MAROC TELECOM MOROCCO (MOROCCO),OK,3487578.7433356415,12.3362881195547,85,3487578.7433356415,3487578.7433356415,697515.7486671284,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,3487578.7433356415,54.0
LIFE HEALTHCARE (SOUTH AFRICA),OK,3450052.176116201,0.687534972833616,85,3450052.176116201,3450052.176116201,690010.4352232403,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,3450052.176116201,55.0
AVI (SOUTH AFRICA),OK,3406230.697460811,6.368300231250788,85,3406230.697460811,3406230.697460811,681246.1394921623,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,3406230.697460811,56.0
THUNGELA RESOURSES (SOUTH AFRICA),OK,3228343.953016669,5.79485139526138,86,3228343.953016669,3228343.953016669,645668.7906033339,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,3228343.953016669,57.0
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),OK,2910160.7414423283,1.677929770249466,86,2910160.7414423283,2910160.7414423283,582032.1482884657,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,2910160.7414423283,58.0
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),OK,2849539.9401912303,0.02474946411117963,86,2849539.9401912303,2849539.9401912303,569907.988038246,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,2849539.9401912303,59.0
LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),OK,2805827.470738218,208.2455976145014,85,2805827.470738218,2805827.470738218,561165.4941476437,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,2805827.470738218,60.0
SANTAM (SOUTH AFRICA),OK,2628936.5802691625,25.80217946775497,85,2628936.5802691625,2628936.5802691625,525787.3160538325,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,2628936.5802691625,61.0
HELIOPOLIS CO. FOR HOUSING & DEVELOPMENT (EGYPT),OK,2459722.4112872453,0.07550683966122598,86,2459722.4112872453,2459722.4112872453,491944.48225744907,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,2459722.4112872453,62.0
QUILTER (SOUTH AFRICA),OK,2415012.466888678,2.44772108414426,85,2415012.466888678,2415012.466888678,483002.4933777356,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,2415012.466888678,63.0
SAFARICOM KENYA (KENYA),OK,2030132.7580069602,0.2213287532203919,83,2030132.7580069602,2030132.7580069602,406026.55160139204,30,,,,,2026-01-31,2025-12-31,2026-01-31,KENYA,MID,2030132.7580069602,64.0
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),OK,1988389.487261987,0.1805871915230988,86,1988389.487261987,1988389.487261987,397677.89745239745,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,1988389.487261987,65.0
FAWRY EGYPT (EGYPT),ZERO_CONFIRMED,1952139.4733061497,0.3381028487052675,86,1952139.4733061497,1952139.4733061497,390427.89466123,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,1952139.4733061497,66.0
EFG HOLDING EGYPT (EGYPT),OK,1941929.4447299964,0.5226751234327088,86,1941929.4447299964,1941929.4447299964,388385.8889459993,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,1941929.4447299964,67.0
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),OK,1757606.7548035379,0.06277381356108162,86,1757606.7548035379,1757606.7548035379,351521.3509607076,30,,,,,2026-01-31,2025-12-31,2026-01-31,NIGERIA,MID,1757606.7548035379,68.0
