Company,Country,LiquidityUSD,Rank,Status,InitialWeight,Weight,WeightPct,InitialWeightPct,USDPrice,MinCapitalForOneShare
DAR ES SALAAM STOCK EXCHANGE PLC (TANZANIA),TANZANIA,39021750.81871345,122.0,Included AM200,0.006475618848381847,0.011307982254804677,1.1307982254804676,0.6475618848381848,,
STANBIC HOLDINGS KENYA (KENYA),KENYA,29307052.22058824,142.0,Included AM200,0.004863474748527682,0.00850181889313533,0.8501818893135331,0.4863474748527682,,
CO-OPERATIVE BANK KENYA (KENYA),KENYA,23319395.698235296,131.0,Included AM200,0.0038698293938146206,0.00850181889313533,0.8501818893135331,0.38698293938146205,,
ABSA BANK KENYA (KENYA),KENYA,21949836.535588235,145.0,Included AM200,0.0036425524792339905,0.00850181889313533,0.8501818893135331,0.36425524792339903,,
STANDARD CHARTERED BANK KENYA (KENYA),KENYA,21022605.75147059,148.0,Included AM200,0.003488679497718445,0.00850181889313533,0.8501818893135331,0.34886794977184454,,
BRALIRWA RWANDA (RWANDA),RWANDA,18891133.720930237,165.0,Included AM200,0.003134963937391855,0.00850181889313533,0.8501818893135331,0.3134963937391855,,
KENYA ELECTRICITY GENERATING CO (KENYA),KENYA,17329444.832294118,144.0,Included AM200,0.0028758032951761094,0.00850181889313533,0.8501818893135331,0.2875803295176109,,
NCBA GROUP KENYA (KENYA),KENYA,17244567.776470587,141.0,Included AM200,0.002861718036289611,0.00850181889313533,0.8501818893135331,0.2861718036289611,,
KENYA POWER (KENYA),KENYA,16985727.565294117,161.0,Included AM200,0.0028187637732171897,0.00850181889313533,0.8501818893135331,0.28187637732171894,,
I&M GROUP KENYA (KENYA),KENYA,16724491.025,138.0,Included AM200,0.002775411841827085,0.00850181889313533,0.8501818893135331,0.27754118418270846,,
BRITISH AMERICAN TOBACCO KENYA (KENYA),KENYA,16707690.952941176,150.0,Included AM200,0.002772623887391526,0.00850181889313533,0.8501818893135331,0.2772623887391526,,
DIAMOND TRUST BANK KENYA (KENYA),KENYA,9822955.863235297,149.0,Included AM200,0.0016301092800860308,0.00850181889313533,0.8501818893135331,0.1630109280086031,,
KENYA AIRWAYS (KENYA),KENYA,5869131.027764705,173.0,Included AM200,0.0009739761725091379,0.00850181889313533,0.8501818893135331,0.0973976172509138,,
JUBILEE HOLDINGS KENYA (KENYA),KENYA,4164828.217647059,175.0,Included AM200,0.0006911488987709411,0.00850181889313533,0.8501818893135331,0.0691148898770941,,
AIRTEL UGANDA (UGANDA),UGANDA,3756907.186428571,170.0,Included AM200,0.0006234548291049791,0.00850181889313533,0.8501818893135331,0.06234548291049791,,
BRITAM HOLDINGS KENYA (KENYA),KENYA,3395755.4981176467,174.0,Included AM200,0.0005635220831137458,0.00850181889313533,0.8501818893135331,0.05635220831137458,,
MTN RWANDACELL (RWANDA),RWANDA,3199093.023255814,169.0,Included AM200,0.0005308861505308856,0.00850181889313533,0.8501818893135331,0.05308861505308855,,
