Date,ObservationDate,ImplementationDate,Company,Country,Weight,Liquidity,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Rank,Dividend_Status,Price,Trading Days (90d),StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Regime,RawLiquidity
2026-01-31,2025-12-31,2026-01-31,EQUITY GROUP HOLDINGS KENYA (KENYA),KENYA,0.02507802963265295,1331072.564493678,1331072.564493678,1331072.564493678,266214.5128987356,30,74,OK,0.5211179639316106,83,,,,,MID,1331072.564493678
2026-01-31,2025-12-31,2026-01-31,ZENITH BANK NIGERIA (NIGERIA),NIGERIA,0.0236300942718081,1254220.153749599,1254220.153749599,1254220.153749599,250844.0307499197,30,78,OK,0.04277201409123312,86,,,,,MID,1254220.153749599
2026-01-31,2025-12-31,2026-01-31,KCB GROUP KENYA (KENYA),KENYA,0.02051145397404997,1088691.338301305,1088691.338301305,1088691.338301305,217738.2676602611,30,82,OK,0.513310953236006,83,,,,,MID,1088691.338301305
2026-01-31,2025-12-31,2026-01-31,FIRST HOLDCO NIGERIA (NIGERIA),NIGERIA,0.01970167164168563,1045710.328165708,1045710.328165708,1045710.328165708,209142.0656331416,30,85,OK,0.03315177143964509,86,,,,,MID,1045710.328165708
2026-01-31,2025-12-31,2026-01-31,TALAAT MOUSTAFA GROUP EGYPT (EGYPT),EGYPT,0.01840949925972738,2910160.741442328,2910160.741442328,2910160.741442328,582032.1482884657,30,58,OK,1.677929770249466,86,,,,,MID,2910160.741442328
2026-01-31,2025-12-31,2026-01-31,ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),EGYPT,0.01802601577035728,2849539.94019123,2849539.94019123,2849539.94019123,569907.988038246,30,59,OK,0.02474946411117963,86,,,,,MID,2849539.94019123
2026-01-31,2025-12-31,2026-01-31,HELIOPOLIS CO. FOR HOUSING & DEVELOPMENT (EGYPT),EGYPT,0.01556005387086786,2459722.411287245,2459722.411287245,2459722.411287245,491944.4822574491,30,62,OK,0.07550683966122598,86,,,,,MID,2459722.411287245
2026-01-31,2025-12-31,2026-01-31,CRDB BANK PLC TANZANIA (TANZANIA),TANZANIA,0.0148193347005906,786569.365015881,786569.365015881,786569.365015881,157313.8730031762,30,90,OK,0.6193577219942024,83,,,,,LOW,786569.365015881
2026-01-31,2025-12-31,2026-01-31,MTN NIGERIA (NIGERIA),NIGERIA,0.01347187743720219,715050.0542328389,715050.0542328389,715050.0542328389,143010.0108465678,30,93,OK,0.3536650356087399,86,,,,,MID,715050.0542328389
2026-01-31,2025-12-31,2026-01-31,ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),SOUTH AFRICA,0.01321706174575021,88350536.61082894,88350536.61082894,88350536.61082894,17670107.32216579,30,4,OK,86.50928413665467,85,,,,,HIGH,88350536.61082894
