header,status,canonical,events,output
INNSCOR AFRICA (ZIMBABWE),imported,INNSCOR AFRICA (ZIMBABWE),13,/Users/derrythornalley/AM100_DATA/data/dividends/zimbabwe/INNSCOR AFRICA.csv
INTERNATIONAL BREWERIES NIGERIA (NIGERIA),imported,INTERNATIONAL BREWERIES NIGERIA (NIGERIA),1,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/INTERNATIONAL BREWERIES NIGERIA.csv
INVESTEC (SOUTH AFRICA),imported,INVESTEC (SOUTH AFRICA),14,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/INVESTEC.csv
JAIZ BANK NIGERIA (NIGERIA),imported,JAIZ BANK NIGERIA (NIGERIA),6,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/JAIZ BANK NIGERIA.csv
JULIUS BERGER NIGERIA (NIGERIA),imported,JULIUS BERGER NIGERIA (NIGERIA),9,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/JULIUS BERGER NIGERIA.csv
KCB GROUP KENYA (KENYA),imported,KCB GROUP KENYA (KENYA),18,/Users/derrythornalley/AM100_DATA/data/dividends/kenya/KCB GROUP KENYA.csv
KENYA ELECTRICITY GENERATING CO (KENYA),imported,KENYA ELECTRICITY GENERATING CO (KENYA),8,/Users/derrythornalley/AM100_DATA/data/dividends/kenya/KENYA ELECTRICITY GENERATING CO.csv
KUMBA IRON ORE (SOUTH AFRICA),imported,KUMBA IRON ORE (SOUTH AFRICA),12,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/KUMBA IRON ORE.csv
LAFARGE AFRICA NIGERIA (NIGERIA),imported,LAFARGE AFRICA NIGERIA (NIGERIA),12,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/LAFARGE AFRICA NIGERIA.csv
LIFE HEALTHCARE (SOUTH AFRICA),imported,LIFE HEALTHCARE (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/LIFE HEALTHCARE.csv
MAROC TELECOM MOROCCO (MOROCCO),imported,MAROC TELECOM MOROCCO (MOROCCO),10,/Users/derrythornalley/AM100_DATA/data/dividends/morocco/MAROC TELECOM MOROCCO.csv
MARSA MAROC MOROCCO (MOROCCO),imported,MARSA MAROC MOROCCO (MOROCCO),8,/Users/derrythornalley/AM100_DATA/data/dividends/morocco/MARSA MAROC MOROCCO.csv
MCB GROUP LTD MAURITIUS (MAURITIUS),imported,MCB GROUP LTD MAURITIUS (MAURITIUS),18,/Users/derrythornalley/AM100_DATA/data/dividends/mauritius/MCB GROUP LTD MAURITIUS.csv
MONDI (SOUTH AFRICA),imported,MONDI (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/MONDI.csv
MR PRICE (SOUTH AFRICA),imported,MR PRICE (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/MR PRICE.csv
MTN GROUP (SOUTH AFRICA),imported,MTN GROUP (SOUTH AFRICA),5,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/MTN GROUP.csv
MTN NIGERIA (NIGERIA),imported,MTN NIGERIA (NIGERIA),11,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/MTN NIGERIA.csv
NASCON ALLIED INDUSTRIES NIGERIA (NIGERIA),imported,NASCON ALLIED INDUSTRIES NIGERIA (NIGERIA),9,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/NASCON ALLIED INDUSTRIES NIGERIA.csv
NASPERS (SOUTH AFRICA),imported,NASPERS (SOUTH AFRICA),12,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/NASPERS.csv
NCBA GROUP KENYA (KENYA),imported,NCBA GROUP KENYA (KENYA),16,/Users/derrythornalley/AM100_DATA/data/dividends/kenya/NCBA GROUP KENYA.csv
NESTLÉ NIGERIA (NIGERIA),imported,NESTLÉ NIGERIA (NIGERIA),14,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/NESTLÉ NIGERIA.csv
NIGERIAN BREWERIES (NIGERIA),imported,NIGERIAN BREWERIES (NIGERIA),15,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/NIGERIAN BREWERIES.csv
NINETY ONE (SOUTH AFRICA),imported,NINETY ONE (SOUTH AFRICA),11,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/NINETY ONE.csv
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),imported,NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),6,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/NORTHAM PLATINUM HOLDINGS.csv
OANDO PLC NIGERIA (NIGERIA),imported,OANDO PLC NIGERIA (NIGERIA),0,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/OANDO PLC NIGERIA.csv
OKOMU OIL PALM NIGERIA (NIGERIA),imported,OKOMU OIL PALM NIGERIA (NIGERIA),18,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/OKOMU OIL PALM NIGERIA.csv
OLD MUTUAL (SOUTH AFRICA),imported,OLD MUTUAL (SOUTH AFRICA),21,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/OLD MUTUAL.csv
ORAGROUP TOGO (TOGO),imported,ORAGROUP TOGO (TOGO),1,/Users/derrythornalley/AM100_DATA/data/dividends/togo/ORAGROUP TOGO.csv
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),imported,ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),2,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/ORASCOM INVESTMENT HOLDING EGYPT.csv
OUTSURANCE (SOUTH AFRICA),imported,OUTSURANCE (SOUTH AFRICA),18,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/OUTSURANCE.csv
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),imported,PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),2,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/PALM HILLS DEVELOPMANT COMPANY EGYPT.csv
