Date,Conservative,Balanced,Growth,Aggressive
2019-05-08,1296.069834641148,1329.180061357549,1361.6616617929196,1439.350915083819
2019-05-09,1279.1586999066724,1315.071020505971,1350.5209834374498,1436.2999274711847
2019-05-10,1279.0073413352368,1313.8849088853572,1348.244615539516,1431.0445046767063
2019-05-12,1279.2175299867417,1314.0754816020892,1348.4141614746513,1431.1583506930688
2019-05-13,1262.1015604345923,1296.982256026968,1331.3761918415591,1414.3889294972153
2019-05-14,1259.3908350073048,1293.5118392298332,1327.110810809026,1407.9655974463294
2019-05-15,1256.2956613133795,1290.4167883347234,1324.0215285202114,1404.9190067964132
2019-05-16,1252.3942701232907,1288.3560887465048,1323.9045127894544,1410.046365048939
2019-05-17,1245.1255074157039,1281.3906298513107,1317.273012528917,1404.3888908330225
2019-05-19,1244.4890497318677,1280.4965459435782,1316.1081077707943,1402.4903976782043
2019-05-20,1238.5583357193982,1275.2704625541257,1311.6372789274287,1400.1351877550776
2019-05-21,1241.848596095032,1276.6105990883436,1310.9095888252637,1393.7961387161643
2019-05-22,1233.7083075556895,1271.2295201399706,1308.451263297678,1399.289264466009
2019-05-23,1228.6853764425696,1266.7897895867598,1304.6390508287548,1397.250365465011
2019-05-24,1227.5172696405577,1265.811733190032,1303.8648088074362,1397.043812801205
2019-05-26,1228.716821576192,1266.9646820059277,1304.9658666540863,1398.0071459686603
2019-05-27,1229.0861896123063,1266.5317220757438,1303.681685021659,1394.4146646538804
2019-05-28,1252.5405225631162,1286.4974994897934,1319.9066944926349,1400.2879382333333
2019-05-29,1258.3063717066677,1289.361246366458,1319.7069687392602,1391.7859887332938
2019-05-30,1255.6276617608642,1285.6785262810242,1314.9776003463533,1384.260069369541
2019-05-31,1250.33316058985,1282.0954954300187,1313.1929898209467,1387.2955815083612
2019-06-03,1250.33316058985,1282.0954954300187,1313.1929898209467,1387.2955815083612
2019-06-04,1250.3829757142996,1282.4990940054347,1313.9674461543752,1389.0682050690268
2019-06-05,1256.0972127496607,1286.9245895229617,1317.0307942961033,1388.4201126070927
2019-06-06,1256.6463077403446,1288.0899073293328,1318.8402208784937,1391.9436348606284
2019-06-07,1263.0424425337976,1291.9561006938782,1320.044509169651,1385.9574761127978
2019-06-09,1263.6033282164728,1292.8496572619986,1321.2842770396048,1388.1137814945846
2019-06-10,1265.5430298087686,1293.946908758487,1321.4988003295641,1385.9598422202594
2019-06-11,1268.1943582237784,1295.867328078157,1322.6528651385697,1385.0528039765452
2019-06-12,1267.218748989507,1295.2590719940672,1322.4287113209007,1385.8494747846316
2019-06-13,1265.3055596853105,1293.7341140404787,1321.3113625039239,1385.8296603619704
2019-06-14,1262.4712720236594,1291.9273602723688,1320.5805702092555,1387.9776589841767
2019-06-16,1262.4212536857622,1291.6308498087099,1320.0267174686364,1386.7408113084869
2019-06-17,1263.1602489407826,1293.1528636711569,1322.3649503424178,1391.2419303482582
2019-06-18,1265.0803625917792,1292.5104545286906,1319.0409982911594,1380.764304351442
2019-06-19,1266.4683514542642,1293.8994256380784,1320.4287695436176,1382.1303114426034
2019-06-20,1272.327457808895,1299.5899632545334,1325.9344502670563,1387.090238837856
