Date,Optimized Max Sharpe
2020-03-24,1062.77895732628
2020-03-25,1076.2349140418257
2020-03-26,1092.2176256309626
2020-03-27,1098.7173892867127
2020-03-29,1099.4288888677943
2020-03-30,1094.9226153680709
2020-03-31,1104.1990847792692
2020-04-01,1104.1990847792692
2020-04-02,1099.1904740098867
2020-04-03,1099.9055490044602
2020-04-05,1096.2596643915979
2020-04-06,1105.6897202224516
2020-04-07,1112.8677224699973
2020-04-08,1123.9792629118226
2020-04-09,1140.7674181466864
2020-04-10,1145.5871147365222
2020-04-12,1143.368859741586
2020-04-13,1145.3892001855977
2020-04-14,1154.2925626441333
2020-04-15,1156.45345847129
2020-04-16,1150.7083063403475
2020-04-17,1154.8242962577187
2020-04-20,1158.9631050477008
2020-04-21,1148.1616199919158
2020-04-22,1149.5581150072512
2020-04-23,1161.85042065576
2020-04-24,1159.865171782297
2020-04-26,1164.4781989138712
2020-04-27,1165.5167554155182
2020-04-28,1162.2263094475331
2020-04-29,1169.420446844329
2020-04-30,1169.3253946868858
2020-05-03,1169.3253946868858
2020-05-04,1171.545787353746
2020-05-05,1182.5749839962314
2020-05-06,1197.8232078155763
2020-05-07,1190.2921941565205
2020-05-08,1188.6841108123506
2020-05-10,1182.836887513908
2020-05-11,1176.2295331329804
2020-05-12,1185.1124303786885
2020-05-13,1183.8293210625118
2020-05-14,1180.6914674656332
2020-05-15,1185.5791592470755
2020-05-17,1184.9524398286237
2020-05-18,1191.7490314355227
2020-05-19,1213.3389432164527
2020-05-20,1219.8019888153897
2020-05-21,1220.4279214073772
2020-05-22,1224.0290843331197
2020-05-25,1225.58375124409
2020-05-26,1233.6189696538227
2020-05-27,1245.0510368834814
2020-05-28,1246.7690347765608
2020-05-29,1264.1304751859273
2020-05-31,1267.456454328138
2020-06-01,1267.456454328138
2020-06-02,1289.9879093379052
2020-06-03,1307.3701970802008
2020-06-04,1309.539484989982
2020-06-05,1306.5277862539124
2020-06-07,1311.221437774753
2020-06-08,1317.4105774546501
2020-06-09,1317.4484392841675
2020-06-10,1310.3811801545285
2020-06-11,1301.2464030092256
2020-06-12,1303.695787463854
2020-06-14,1303.270479393184
2020-06-15,1300.400960256978
2020-06-16,1303.4089186706879
2020-06-17,1305.926676535997
2020-06-18,1302.3059793758468
2020-06-19,1302.7928696193492
2020-06-21,1304.6925043538272
2020-06-22,1307.3652196250632
2020-06-23,1303.810360290739
2020-06-24,1309.4898413016404
2020-06-25,1306.9295276027729
2020-06-26,1301.276345133293
2020-06-28,1299.8552456681525
2020-06-29,1295.6746231668153
2020-06-30,1292.8414317583197
2020-07-01,1292.8414317583197
2020-07-02,1285.330727240857
2020-07-03,1284.2519359467615
2020-07-05,1289.1666335822626
2020-07-06,1292.3563827078112
2020-07-07,1282.8803701937206
2020-07-08,1288.4641914687047
2020-07-09,1289.783481680629
2020-07-10,1284.332903114053
2020-07-12,1288.4320120478483
2020-07-13,1291.229398652913
2020-07-14,1286.3487265225247
