InputCompany,MatchType,MatchedCompany,AM100,AM200,AM300,CoveragePct,LatestAvgDailyUSDLiquidity,LatestRank,Status,Reason
Coronation Fund Managers Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Abu Qir Fertilizers and Chemical Industries Co SAE,missing,,,,,,,,Missing entirely,not_in_master_dataset
Douja Promotion Groupe Addoha S.A.,missing,,,,,,,,Missing entirely,not_in_master_dataset
Raubex Group Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
e-Finance Investment Group,missing,,,,,,,,Missing entirely,not_in_master_dataset
Tanzania Breweries Public Limited Company,missing,,,,,,,,Missing entirely,not_in_master_dataset
Edita Food Industries Company (S.A.E),missing,,,,,,,,Missing entirely,not_in_master_dataset
Beltone Holding,likely_match,BELTONE HOLDING EGYPT (EGYPT),True,False,True,0.6424939791276425,160861127.59029764,92.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Investec PLC,exact_normalized,INVESTEC (SOUTH AFRICA),True,False,True,0.683971099812684,127599752.51206896,81.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Tsogo Sun Gaming,missing,,,,,,,,Missing entirely,not_in_master_dataset
Old Mutual Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
Palm Hills Development Company,likely_match,PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),True,False,True,0.6438319507626439,115513027.05291668,100.0,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
Juhayna Food Industries S.A.E,missing,,,,,,,,Missing entirely,not_in_master_dataset
Ibnsina Pharma,missing,,,,,,,,Missing entirely,not_in_master_dataset
Ninety One Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Madinet Masr For Housing and Development,missing,,,,,,,,Missing entirely,not_in_master_dataset
Oriental Weavers Carpets Company,missing,,,,,,,,Missing entirely,not_in_master_dataset
Sidi Kerir Petrochemicals,likely_match,SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),False,True,True,0.6435643564356436,42659679.957559526,107.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Ecobank Transnational Incorporated,missing,,,,,,,,Missing entirely,not_in_master_dataset
Airtel Africa,missing,,,,,,,,Missing entirely,not_in_master_dataset
MTN Group Ltd,missing,,,,,,,,Missing entirely,not_in_master_dataset
