Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
FOSCHINI (SOUTH AFRICA),OK,12348691.561146706,6.790329460973903,87,87,12348691.561146706,12348691.561146706,2469738.3122293414,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,12348691.561146706,33.0,True,2025-04-30
BIDVEST (SOUTH AFRICA),OK,11948619.208280755,12.86295518065761,87,87,11948619.208280755,11948619.208280755,2389723.841656151,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,11948619.208280755,34.0,True,2025-04-30
OUTSURANCE (SOUTH AFRICA),OK,11770630.145987572,3.806997775336881,87,87,11770630.145987572,11770630.145987572,2354126.0291975145,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,11770630.145987572,35.0,True,2025-04-30
REMGRO (SOUTH AFRICA),OK,11331062.74228558,8.618999267548922,87,87,11331062.74228558,11331062.74228558,2266212.548457116,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,11331062.74228558,36.0,True,2025-04-30
VODACOM (SOUTH AFRICA),OK,11214948.332030497,6.852049797934171,87,87,11214948.332030497,11214948.332030497,2242989.6664060997,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,11214948.332030497,37.0,True,2025-04-30
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),OK,10693838.16812351,8.942894487172275,87,87,10693838.16812351,10693838.16812351,2138767.633624702,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,10693838.16812351,38.0,True,2025-04-30
MONDI (SOUTH AFRICA),OK,9859031.958070606,14.86750063768578,87,87,9859031.958070606,9859031.958070606,1971806.3916141214,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,9859031.958070606,39.0,True,2025-04-30
KUMBA IRON ORE (SOUTH AFRICA),OK,9799554.610426698,17.0440983614616,87,87,9799554.610426698,9799554.610426698,1959910.9220853397,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,9799554.610426698,40.0,True,2025-04-30
WOOLWORTHS HOLDINGS (SOUTH AFRICA),OK,9319221.418210376,2.785608128295279,87,87,9319221.418210376,9319221.418210376,1863844.2836420753,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,9319221.418210376,41.0,True,2025-04-30
TIGER BRANDS (SOUTH AFRICA),OK,7800518.957347795,15.17774091550377,87,87,7800518.957347795,7800518.957347795,1560103.791469559,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,7800518.957347795,42.0,True,2025-04-30
TRUWORTHS INT (SOUTH AFRICA),OK,7629924.61813196,3.930438449257417,87,87,7629924.61813196,7629924.61813196,1525984.9236263921,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,7629924.61813196,43.0,True,2025-04-30
GROWTHPOINT PROPERTIES (SOUTH AFRICA),OK,7497215.557188395,0.7073259855181149,87,87,7497215.557188395,7497215.557188395,1499443.1114376793,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,7497215.557188395,44.0,True,2025-04-30
INVESTEC (SOUTH AFRICA),OK,7200584.938606169,6.221191486526124,87,87,7200584.938606169,7200584.938606169,1440116.9877212339,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,7200584.938606169,45.0,True,2025-04-30
ATTIJARIWAFA BANK MOROCCO (MOROCCO),OK,6624218.887794977,75.57929183564366,87,87,6624218.887794977,6624218.887794977,1324843.7775589954,30,,,,,2025-04-30,2025-03-31,2025-04-30,MOROCCO,MID,6624218.887794977,46.0,True,2025-04-30
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),OK,6461651.867135272,7.969024037613357,87,87,6461651.867135272,6461651.867135272,1292330.3734270546,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,6461651.867135272,47.0,True,2025-04-30
THUNGELA RESOURSES (SOUTH AFRICA),OK,5764426.334542352,5.512226907991364,85,85,5764426.334542352,5764426.334542352,1152885.2669084703,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,5764426.334542352,48.0,True,2025-04-30
MAROC TELECOM MOROCCO (MOROCCO),OK,5597636.558068347,13.23015611584217,86,86,5597636.558068347,5597636.558068347,1119527.3116136694,30,,,,,2025-04-30,2025-03-31,2025-04-30,MOROCCO,MID,5597636.558068347,49.0,True,2025-04-30
EFG HOLDING EGYPT (EGYPT),OK,5482426.92042553,0.544137462973919,86,86,5482426.92042553,5482426.92042553,1096485.384085106,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,5482426.92042553,50.0,True,2025-04-30
