Date,Index Level
2017-08-01,681.24
2017-08-02,684.43
2017-08-03,684.65
2017-08-04,685.37
2017-08-07,689.79
2017-08-08,694.83
2017-08-09,696.12
2017-08-10,694.19
2017-08-11,699.33
2017-08-14,699.7
2017-08-15,693.92
2017-08-16,687.49
2017-08-17,686.41
2017-08-18,689.88
2017-08-21,693.38
2017-08-22,692.64
2017-08-23,695.43
2017-08-24,695.74
2017-08-25,701.03
2017-08-28,702.34
2017-08-29,706.86
2017-08-30,707.96
2017-08-31,704.88
2017-09-01,699.17
2017-09-04,696.98
2017-09-05,698.04
2017-09-06,698.4
2017-09-07,702.87
2017-09-08,706.42
2017-09-11,706.92
2017-09-12,703.13
2017-09-13,702.59
2017-09-14,702.19
2017-09-15,699.2
2017-09-18,697.36
2017-09-19,698.74
2017-09-20,698.22
2017-09-21,700.1
2017-09-22,702.04
2017-09-25,700.0
2017-09-26,697.48
2017-09-27,693.3
2017-09-28,693.45
2017-09-29,691.96
2017-10-02,691.01
2017-10-03,690.24
2017-10-04,691.9
2017-10-05,691.19
2017-10-06,694.33
2017-10-09,695.14
2017-10-10,693.55
2017-10-11,692.11
2017-10-12,693.95
2017-10-13,695.1
2017-10-16,688.63
2017-10-17,685.08
2017-10-18,686.18
2017-10-19,687.52
2017-10-20,684.49
2017-10-23,685.31
2017-10-24,689.78
2017-10-25,689.21
2017-10-26,685.69
2017-10-27,684.9
2017-10-30,687.67
2017-10-31,690.41
2017-11-01,694.41
2017-11-02,693.46
2017-11-03,694.1
2017-11-06,692.06
2017-11-07,690.31
2017-11-08,692.49
2017-11-09,694.58
2017-11-10,697.41
2017-11-13,694.8
2017-11-14,692.76
2017-11-15,693.71
2017-11-16,692.58
2017-11-17,694.67
2017-11-20,695.08
2017-11-21,695.14
2017-11-22,700.28
2017-11-23,697.68
2017-11-24,700.11
2017-11-27,700.18
2017-11-28,704.45
2017-11-29,706.64
2017-11-30,706.45
2017-12-01,705.46
2017-12-04,703.0
2017-12-05,702.43
2017-12-06,700.68
2017-12-07,704.06
2017-12-08,701.92
2017-12-11,700.3
2017-12-12,702.88
2017-12-13,697.02
2017-12-14,694.27
2017-12-15,697.59
2017-12-18,693.91
2017-12-19,692.39
2017-12-20,696.24
2017-12-21,696.76
2017-12-22,697.18
2017-12-25,700.28
2017-12-26,702.4
2017-12-27,698.95
2017-12-28,703.85
2017-12-29,710.06
2018-01-01,709.82
2018-01-02,710.53
2018-01-03,709.25
2018-01-04,713.04
2018-01-05,717.22
2018-01-08,720.69
2018-01-09,725.24
2018-01-10,731.36
2018-01-11,737.5
2018-01-12,741.11
2018-01-15,748.29
2018-01-16,753.16
2018-01-17,753.65
2018-01-18,751.92
2018-01-19,755.5
2018-01-22,751.54
2018-01-23,750.45
2018-01-24,751.5
2018-01-25,753.32
2018-01-26,753.97
2018-01-29,753.83
2018-01-30,755.22
2018-01-31,753.23
2018-02-01,758.69
2018-02-02,757.89
2018-02-05,755.92
2018-02-06,746.05
2018-02-07,746.21
2018-02-08,745.53
2018-02-09,741.92
2018-02-12,731.97
2018-02-13,729.3
2018-02-14,734.52
2018-02-15,737.53
2018-02-16,739.24
2018-02-19,737.6
2018-02-20,737.78
2018-02-21,740.45
2018-02-22,740.73
2018-02-23,741.63
2018-02-26,740.44
2018-02-27,739.69
2018-02-28,744.96
2018-03-01,741.75
2018-03-02,742.9
2018-03-05,747.23
2018-03-06,752.93
2018-03-07,756.83
2018-03-08,763.06
2018-03-09,764.37
2018-03-12,760.78
2018-03-13,764.74
2018-03-14,764.1
2018-03-15,762.2
2018-03-16,761.33
2018-03-19,763.97
2018-03-20,762.21
2018-03-21,760.02
