Date,AM100,AM200,AM300,Year
2020-04-22,1502.2574806547254,1004.6882827215924,579.3520336132285,2020
2020-04-23,1519.8185146087578,1016.974907511478,585.1558101020744,2020
2020-04-24,1521.6269709880216,1018.317146317718,586.0667753224603,2020
2020-04-26,1529.0730305457466,1023.3006089884173,589.0803206269948,2020
2020-04-27,1532.8765631610818,1024.0228484215193,589.5049797277231,2020
2020-04-28,1553.637442899274,1036.2475808916151,597.1949681443009,2020
2020-04-29,1592.1931101084194,1059.322176969954,611.1479343340618,2020
2020-04-30,1579.0440111182838,1051.0394112730507,607.1111244668707,2020
2020-05-02,1579.0440111182838,1051.0394112730507,607.1111244668707,2020
2020-05-03,1540.1807057914652,1025.621752707091,592.3660962895361,2020
2020-05-04,1540.56544269453,1025.6573786937402,592.1474862061333,2020
2020-05-05,1531.07164718607,1011.7849960193162,584.692412874269,2020
2020-05-06,1568.4514279652994,1044.4399046112626,603.3060193657291,2020
2020-05-07,1560.057724615555,1039.4439773837305,600.6476892814056,2020
2020-05-08,1561.981921388406,1041.0216774400913,602.9352001849783,2020
2020-05-10,1556.0327215529428,1036.9767561133572,600.0766573368375,2020
2020-05-11,1567.4982503860815,1046.474760217154,603.7712946650577,2020
2020-05-12,1631.5497285369854,1075.9989274720476,617.1887467010084,2020
2020-05-13,1608.069974129657,1033.7955092195823,597.8387989189373,2020
2020-05-14,1669.8623483893168,1056.878566462463,602.3757425535061,2020
2020-05-15,1713.5883080412252,1084.79663799991,624.5788299444633,2020
2020-05-17,1715.2248766309883,1085.7210485947608,625.1569613372217,2020
2020-05-18,1772.9490717016492,1126.1648373061907,647.7770763944322,2020
2020-05-19,1797.8660868611726,1169.0096403025668,665.9456738345378,2020
2020-05-20,1813.2777823643987,1196.2943184044682,679.8384935356787,2020
2020-05-21,1825.8216033559156,1204.8050560808165,682.1517763034717,2020
2020-05-22,1858.3151271764505,1250.841366521576,699.7798764146391,2020
2020-05-25,1852.8348638028956,1247.1043890135131,697.6469160734673,2020
2020-05-26,1928.6885619219183,1319.7536981018563,729.5525903748406,2020
2020-05-27,1955.740106756924,1336.6100742086892,753.0022621093393,2020
2020-05-28,1968.9279261877016,1353.8297699782695,766.289986601791,2020
2020-05-29,1998.0677832188148,1376.9968897896154,772.4278530992331,2020
2020-05-31,2002.895084173604,1380.188804557994,774.1071591674246,2020
2020-06-01,2117.112448083514,1482.499295495627,821.6227978007141,2020
2020-06-02,2225.259436449652,1531.0861063904813,849.7478961783964,2020
2020-06-03,2269.900611201673,1566.0945738643447,857.5684874036963,2020
2020-06-04,2183.735661928779,1499.394777085639,826.8886390737406,2020
2020-06-05,2264.346179943473,1555.8658972189353,852.1810454335686,2020
2020-06-07,2334.623613821226,1602.8908753243786,877.78767760561,2020
2020-06-08,2355.0858971630923,1626.3887109925547,888.6455235194535,2020
2020-06-09,2308.505772331819,1579.9297748400822,878.2108926868104,2020
2020-06-10,2288.244106974136,1529.994336251047,858.1024657300611,2020
2020-06-11,2261.6033394621186,1518.2025856872126,850.5498535126796,2020
2020-06-12,2258.504386552805,1528.290755275566,850.3078198605367,2020
2020-06-14,2255.02205845967,1526.0154249275902,849.0622803023462,2020
2020-06-15,2239.5904478208136,1523.8729783045355,846.2176190425713,2020
2020-06-16,2251.747042615638,1532.9348109667756,853.0153947544709,2020
2020-06-17,2253.4744556107044,1537.3447068564942,855.8326101293171,2020
2020-06-18,2240.6436022101225,1530.3630012296378,852.8958416680347,2020
2020-06-19,2281.087591175892,1559.571513078745,862.9375808172256,2020
2020-06-21,2278.808941028954,1558.0941173846263,862.154959624986,2020
2020-06-22,2278.406329785791,1558.4769570904853,862.9661934930599,2020
2020-06-23,2301.643758134871,1571.0633586385925,868.2767438860695,2020
2020-06-24,2177.2559833068426,1486.393100923662,821.4674642404578,2020
2020-06-25,2150.4698041612714,1469.2729723214695,816.2414955238548,2020
2020-06-26,2144.062700666621,1465.3896375965462,813.1549019554689,2020
2020-06-28,2140.8103945078897,1463.2718116185622,812.1415059375886,2020
2020-06-29,2145.602165263189,1466.4581137297755,813.9068712923555,2020
2020-06-30,2141.62484107983,1463.3066733014157,812.626292606377,2020
2020-07-01,2187.43998998187,1494.9402043457296,830.0300808303492,2020
2020-07-02,2175.342953708602,1486.854616314238,825.8814568789386,2020
2020-07-03,2180.8081619284108,1489.820444219963,827.5347067334358,2020
2020-07-04,2101.703546309145,1436.3259693352595,798.2274225818448,2020
2020-07-05,2130.125960828894,1454.8254387938537,808.1852950095142,2020
2020-07-06,2138.340940258412,1460.0566704713983,811.1213206168255,2020
2020-07-07,2174.353312844037,1484.9517720473643,825.2009260479938,2020
2020-07-08,2210.1065412087914,1509.6545258543867,838.2998512601154,2020
2020-07-09,2189.2598515017007,1495.3734489288709,829.71991741443,2020
2020-07-10,2199.5664698921123,1502.1633858376767,833.3576961847397,2020
2020-07-12,2257.450037886072,1541.3880655632074,855.3272742384748,2020
2020-07-13,2217.950751790232,1515.0777029780452,841.6814980751715,2020
2020-07-14,2203.268078182971,1505.0445860238822,836.4293331208778,2020
2020-07-15,2202.162302582981,1504.2641378906435,835.5133925010731,2020
2020-07-16,2200.157405527194,1502.8153274724173,834.6013496844325,2020
2020-07-17,2198.931013578261,1502.206834112584,834.2482364490568,2020
2020-07-19,2191.5412357676005,1497.5144449721342,831.7066941875128,2020
2020-07-20,2202.8148941402883,1505.7538387723396,836.1601657018291,2020
2020-07-21,2218.267160340273,1515.6214457681242,841.3870306086877,2020
2020-07-22,2206.3702116182158,1508.284618533141,837.62886399065,2020
2020-07-23,2200.1926185437824,1504.8673076362124,835.6032335357676,2020
2020-07-24,2205.2545439442138,1507.8826166936904,837.1311632658009,2020
2020-07-26,2207.066581089749,1509.3017160959223,837.894935783167,2020
2020-07-27,2241.115626205549,1532.68897725663,850.6119075275675,2020
2020-07-28,2241.9876242476025,1532.9373140704238,851.0437461975447,2020
2020-07-29,2245.296434329557,1535.2490185692384,852.1892350312913,2020
2020-07-30,2225.199786449637,1521.2039849900082,844.6495258771073,2020
2020-07-31,2206.5969347154783,1508.588464158306,837.6345936550738,2020
2020-08-01,2206.5969347154783,1508.588464158306,837.6345936550738,2020
2020-08-03,2206.5654906137743,1508.5747322891489,837.604923925409,2020
2020-08-04,2109.394345014785,1435.5020042578665,805.6289316853153,2020
2020-08-05,2120.667527508639,1413.3227460189912,800.9601827167879,2020
2020-08-06,2135.6937824109277,1420.4921228086157,810.9529586098569,2020
2020-08-07,2091.89666308758,1407.5473477915968,799.9021804651235,2020
2020-08-09,2091.4460274552976,1409.6021836488055,800.3702508988232,2020
2020-08-10,2089.559681673679,1408.1234937897534,799.6082598259294,2020
2020-08-11,2092.132083236336,1410.6353379380184,801.2965281450342,2020
2020-08-12,2131.141413931984,1451.6536878736513,811.7965639319478,2020
2020-08-13,2086.484863875747,1422.937019796747,795.5134510099665,2020
2020-08-14,2057.725574945823,1409.616012164117,787.4313191717458,2020
2020-08-16,2067.0676438091677,1416.796540956179,791.3687613039433,2020
2020-08-17,2056.9737855852777,1407.5576866475703,786.4429451133736,2020
2020-08-18,2044.5861876322576,1404.7841931805078,784.2979550142007,2020
2020-08-19,2056.8583068630555,1412.349689214629,786.9593768745434,2020
2020-08-20,2023.0508730721424,1386.233953961006,778.1851480845945,2020
2020-08-21,2035.5723525389071,1388.2292210126734,779.0956878920191,2020
2020-08-23,2047.7924443557092,1396.9588161312606,784.0221103788698,2020
2020-08-24,2050.214203618892,1403.3151768195855,787.6832545816723,2020
2020-08-25,2038.1654117897003,1401.3206826634232,787.114202184131,2020
2020-08-26,2025.0142377802404,1405.8107516974685,790.2889564336385,2020
2020-08-27,2019.335792318044,1420.9245338898847,801.2352306157215,2020
2020-08-28,2065.729091396444,1482.1926496715369,835.8357992192105,2020
2020-08-30,2066.833931344932,1482.4115130191774,836.0473497230112,2020
2020-08-31,2049.627928042641,1472.9274111503107,829.0961972607354,2020
2020-09-01,2072.8180150835897,1499.016105360953,841.9637667468818,2020
2020-09-02,2076.0576503358284,1504.017317756735,839.8786833647546,2020
2020-09-03,2028.503618860154,1469.068226299116,818.6972265650566,2020
2020-09-04,2034.5680290817345,1480.8995342421863,817.5798848553263,2020
2020-09-06,2087.589565373993,1516.0766690264834,836.5551923027541,2020
2020-09-07,2143.414324077332,1570.5502217520298,854.2381152679762,2020
2020-09-08,2127.035755396745,1560.7501921232774,849.7906176953616,2020
2020-09-09,2148.4825714873127,1574.690392495777,868.8050037167053,2020
2020-09-10,2149.3272905966137,1566.5014230460708,867.8895931806913,2020
2020-09-11,2147.8432291555005,1566.5944465739587,872.869309749979,2020
2020-09-12,2180.2076870194032,1591.3327011802153,886.4184826872284,2020
2020-09-13,2179.486550497216,1591.2502553433906,886.3898380107916,2020
2020-09-14,2101.876617636812,1536.6946784454951,856.7322751095377,2020
2020-09-15,2077.518701202703,1506.653847951293,852.2836468184378,2020
2020-09-16,2071.798367548787,1501.214222825663,849.5443653428665,2020
2020-09-17,2065.7347599200284,1492.4341066937493,843.1443095100733,2020
2020-09-18,2049.030948241211,1464.389491206507,833.116524222159,2020
2020-09-20,2044.865975900051,1461.7393827949827,831.7007996625697,2020
2020-09-21,2014.8401995563613,1425.7347782556587,814.1245893305859,2020
2020-09-22,2020.4760318827875,1429.5446685192614,816.1006811877147,2020
2020-09-23,2022.311936258672,1424.3273598946444,815.6409635804582,2020
2020-09-24,2016.464513562659,1423.4282221763167,813.2541186392472,2020
2020-09-25,2003.0615485042456,1420.462228847207,811.3865466810659,2020
2020-09-27,2001.733903390872,1420.7122150627802,811.4700322672817,2020
2020-09-28,2019.1358917183925,1441.4037909442302,821.6915406984104,2020
2020-09-29,2026.92526409422,1466.7680318911368,824.1866005013637,2020
2020-09-30,2026.3204153789409,1467.544680911959,825.0663994340745,2020
2020-10-01,2051.2693580249856,1484.288874655849,841.1785774399456,2020
2020-10-02,2050.496539347528,1488.6432825135712,842.9776187442661,2020
2020-10-03,1992.4415561821747,1445.762013198536,818.9086654349759,2020
2020-10-04,1993.4547616106968,1446.492851523579,819.3888892780568,2020
2020-10-05,2012.4773802528705,1456.835353586522,825.0616100373611,2020
2020-10-06,2029.579533154469,1464.336902197625,830.6005112016469,2020
2020-10-07,2055.027309357986,1467.5295294272248,837.0916874447857,2020
2020-10-08,2038.969761620044,1456.4843728521785,833.0074233421253,2020
2020-10-09,2054.8095549160084,1473.7576807726043,835.7888444427698,2020
2020-10-11,2062.7893085839423,1481.001005774585,839.8814578772451,2020
2020-10-12,2088.036065401116,1501.5468495223713,853.1217832227098,2020
2020-10-13,2024.1161884899448,1449.7551924922193,825.3780843814936,2020
2020-10-14,2025.9959018843692,1448.2720074787478,822.6577363061123,2020
2020-10-15,2019.7556949000252,1447.3947283593784,820.9585496335593,2020
2020-10-16,2036.891663643722,1459.1019796692697,832.5349884122877,2020
2020-10-18,2030.1144524301185,1454.020196707158,829.6470059231431,2020
2020-10-19,2023.69674781192,1451.965512476272,825.6829473033274,2020
2020-10-20,2015.8681303502065,1448.1482068986006,824.208325419097,2020
2020-10-21,2022.7574954564784,1454.783356233647,827.674253878346,2020
2020-10-22,2020.5589314583176,1452.7917895089336,826.5825616017374,2020
2020-10-23,2032.8069888476648,1462.3158043298804,832.3746820479022,2020
2020-10-25,2013.4213131033607,1449.576994836362,825.3444980750891,2020
2020-10-26,2006.2803727142243,1443.534409513294,821.861817416077,2020
2020-10-27,2000.4995815336324,1437.1014644883696,818.1358056682243,2020
2020-10-28,1964.808005025185,1414.461613852528,805.8563769481273,2020
2020-10-29,1955.6397694978527,1407.107762428189,800.9834562874984,2020
2020-10-30,1952.7420699092756,1404.3582446167666,798.0939896904838,2020
2020-11-02,1952.7420699092756,1404.3582446167666,798.0939896904838,2020
2020-11-03,1878.488193452985,1363.5269399050412,783.8527956370116,2020
2020-11-04,1880.550645111548,1364.6212625137398,781.6115101267256,2020
2020-11-05,1884.2348847872224,1365.9768694034692,783.0207131206486,2020
2020-11-06,1951.7159406144065,1407.8176082368334,805.2148269519988,2020
2020-11-08,1974.1831282533,1423.8635473643358,814.7112385127531,2020
2020-11-09,2008.772369278923,1451.3596765214324,827.9059849965638,2020
2020-11-10,2029.1810743711408,1466.170654981691,842.2566869026036,2020
2020-11-11,2056.0720478743383,1485.614426900235,852.4929802742996,2020
2020-11-12,2102.416727335296,1508.9154592708387,868.3737599856985,2020
2020-11-13,2058.842615169178,1489.4419555051495,858.9525420838456,2020
2020-11-15,2057.509866747633,1489.2456799649442,858.8042843046106,2020
2020-11-16,2070.6302033860143,1500.4598468790969,867.9744028186224,2020
2020-11-17,2074.031533001757,1503.4840132059055,880.5282329925569,2020
2020-11-18,2081.0223117441988,1505.8662981837806,891.3242624882315,2020
2020-11-19,2053.9254029653853,1490.3030202291077,889.8790976796633,2020
2020-11-20,2065.40530235673,1495.9217990711534,894.38423684764,2020
2020-11-22,2063.4878166097687,1494.5580268910678,893.4952941458752,2020
2020-11-23,2053.1331464445834,1489.3175646713023,879.8971987679364,2020
2020-11-24,2080.787471250781,1508.0126223314944,885.6900278983655,2020
2020-11-25,2103.894903586209,1524.2978538081245,888.1682418143832,2020
2020-11-26,2095.871034569442,1525.861839099995,885.8229016767306,2020
2020-11-27,2091.719169577621,1514.282663112391,877.7111824326156,2020
2020-11-29,2093.792081016336,1516.0216596996063,878.7130805773239,2020
2020-11-30,2081.449880093168,1505.0501778489954,872.9875096605361,2020
2020-12-01,2079.084213834526,1508.2176584020729,875.2002487854385,2020
2020-12-02,2096.4191121470217,1520.8046392450835,884.7950649332524,2020
2020-12-03,1961.3869561333377,1441.8725284988743,866.7639266402598,2020
2020-12-04,1973.3516195824443,1445.4732263160029,867.3071713123702,2020
2020-12-05,2005.6278808992784,1459.9995500513269,873.3993836182054,2020
2020-12-06,2070.0486183528324,1497.8369063972827,890.4461454875744,2020
2020-12-07,2055.336307176542,1488.8106237917448,900.5034993736962,2020
2020-12-08,2079.616146591948,1507.4774236608414,918.9796438435676,2020
2020-12-09,2072.5979754554137,1503.4399693293767,927.2521908526594,2020
2020-12-10,2049.766179696692,1490.283860973455,933.2099511291884,2020
2020-12-11,2062.765968974636,1501.3199234476735,949.0418168828368,2020
2020-12-13,2062.7220029159,1502.002761094485,949.4567565599096,2020
2020-12-14,2107.8850515629206,1529.7131259868322,961.501888922565,2020
2020-12-15,2131.365584610634,1547.1759159447092,965.5978676894098,2020
2020-12-16,2129.764865877494,1545.7720735232667,958.964336906863,2020
2020-12-17,2161.297559303792,1563.7440796033009,969.2882599711404,2020
2020-12-18,2185.300726190145,1577.9997500351374,975.6074924929288,2020
