Company,HasPriceSeries,HasDividendSeries,DividendEvents,Status,Dividend_Status,Materiality,ResolutionAction,WorkbookHeader
CIC INSURANCE GROUP KENYA (KENYA),True,True,7,OK,OK,NON_MATERIAL,None,
CIH BANK (MOROCCO),True,True,9,OK,OK,NON_MATERIAL,None,
CIM FINANCIAL SERVICES MAURITIUS (MAURITIUS),True,True,10,OK,OK,NON_MATERIAL,None,
CIMENTS DU MAROC MOROCCO (MOROCCO),True,True,9,OK,OK,NON_MATERIAL,None,
CIMERWA RWANDA (RWANDA),True,True,3,OK,OK,NON_MATERIAL,None,
CLICKS (SOUTH AFRICA),True,True,20,OK,OK,MATERIAL,None,CLICKS (SOUTH AFRICA)
CLYDESTONE (GHANA) PLC (GHANA),False,True,0,Missing Price,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
CLYDESTONE GHANA PLC (GHANA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
CO-OPERATIVE BANK KENYA (KENYA),False,True,10,Missing Price,OK,NON_MATERIAL,None,
COCOA PROCESSING COMPANY LIMITED (GHANA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),True,True,9,OK,OK,MATERIAL,None,COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT)
COMPAGNIE SUCRERIE MAROCAINE ET DE RAFFINAGE SA (MORROCO),False,True,10,Missing Price,OK,NON_MATERIAL,None,
COOPERATIVE BANK KENYA (KENYA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,
COPPERBELT ENERGY CORP ZAMBIA (ZAMBIA),True,True,6,OK,OK,NON_MATERIAL,None,
CORONATION (NAMIBIA),True,True,10,OK,OK,NON_MATERIAL,None,CORONATION (NAMIBIA)
CORONATION INSURANCE NIGERIA (NIGERIA),True,True,1,OK,OK,NON_MATERIAL,None,
COSUMAR MOROCCO (MOROCCO),True,True,10,OK,OK,NON_MATERIAL,None,
CRDB BANK PLC TANZANIA (TANZANIA),True,True,10,OK,OK,MATERIAL,None,
CREDIT AGRICOLE - EGYPT BANK (S.A.E.),False,True,6,Missing Price,OK,NON_MATERIAL,None,
"CRÉDIT IMMOBILIER ET HÔTELIER, SOCIÉTÉ ANONYME (MORROCO)",False,True,4,Missing Price,OK,NON_MATERIAL,None,
CUSTODIAN INVESTMENT NIGERIA (NIGERIA),True,True,20,OK,OK,MATERIAL,None,CUSTODIAN INVESTMENT NIGERIA (NIGERIA)
CUTIX PLC NIGERIA (NIGERIA),True,True,10,OK,OK,NON_MATERIAL,None,CUTIX PLC NIGERIA (NIGERIA)
DANGOTE CEMENT NIGERIA (NIGERIA),True,True,11,OK,OK,MATERIAL,None,DANGOTE CEMENT NIGERIA (NIGERIA)
DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),True,True,9,OK,OK,MATERIAL,None,DANGOTE SUGAR REFINERY NIGERIA (NIGERIA)
DAR ES SALAAM STOCK EXCHANGE PLC (TANZANIA),True,True,10,OK,OK,NON_MATERIAL,None,
DCB COMMERCIAL BANK PLC TANZANIA (TANZANIA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
DELICE HOLDING TUNISIA (TUNISIA),True,True,10,OK,OK,NON_MATERIAL,None,
DELTA CORPORATION LIMITED (ZIMBABWE),True,True,14,OK,OK,NON_MATERIAL,None,
DIAMOND TRUST BANK KENYA (KENYA),True,True,5,OK,OK,NON_MATERIAL,None,
DIS-CHEM PHARMACIES (SOUTH AFRICA),False,True,16,Missing Price,OK,NON_MATERIAL,None,
DISCHEM PHARMACIES (SOUTH AFRICA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
DISCOVERY HOLDINGS (SOUTH AFRICA),True,True,14,OK,OK,MATERIAL,None,DISCOVERY HOLDINGS (SOUTH AFRICA)
DOT COM ZAMBIA (ZAMBIA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
DOUJA PROMOTION GROUPE ADDOHA S.A. (MOROCCO),False,True,4,Missing Price,OK,NON_MATERIAL,None,
DOUJA PROMOTION GROUPE ADDOHA SA (MOROCCO),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
E-FINANCE INVESTMENT GROUP (EGYPT),False,True,7,Missing Price,OK,NON_MATERIAL,None,
EAST AFRICAN BREWERIES KENYA (KENYA),True,True,18,OK,OK,MATERIAL,None,EAST AFRICAN BREWERIES KENYA (KENYA)
EAST DELTA FLOUR MILLS EGYPT (EGYPT),True,True,9,OK,OK,NON_MATERIAL,None,
EASTERN TOBACCO EGYPT (EGYPT),True,True,11,OK,OK,MATERIAL,None,EASTERN TOBACCO EGYPT (EGYPT)
ECOBANK GHANA (GHANA),True,True,6,OK,OK,NON_MATERIAL,None,
ECOBANK TRANSITIONAL INC GHANA (GHANA),True,True,5,OK,OK,NON_MATERIAL,None,
EDITA FOOD INDUSTRIES COMPANY (EGYPT),True,True,1,OK,OK,MATERIAL,None,
EFG HOLDING EGYPT (EGYPT),True,True,3,OK,OK,MATERIAL,None,EFG HOLDING EGYPT (EGYPT)
EGYPT ALUMINIUM (EGYPT),True,True,9,OK,OK,MATERIAL,None,EGYPT ALUMINIUM (EGYPT)
EL AHLI INVESTMENT AND DEVELOPMENT (EGYPT),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
