company,country,status,reason,flag_low_history,flag_illiquid,flag_missing_data,flag_outlier_return
ARADEL HOLDINGS NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
BUA CEMENT NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
BUA FOODS NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
BERGER PAINTS NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
CAP PLC NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
CADBURY NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
CORONATION INSURANCE NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
CUSTODIAN INVESTMENT NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
CUTIX PLC NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
DANGOTE CEMENT NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
ETERNA PLC NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
FCMB GROUP NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
FIDELITY BANK NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
FIRST HOLDCO NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
GEREGU POWER NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
GUINNESS NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
HONEYWELL FLOUR MILLS NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
INTERNATIONAL BREWERIES NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
JAIZ BANK NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
JULIUS BERGER NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
LAFARGE AFRICA NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
MTN NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
NASCON ALLIED INDUSTRIES NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
NESTLE NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
NIGERIAN BREWERIES (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
OANDO PLC NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
OKOMU OIL PALM NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
PRESCO PLC NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
SEPLAT ENERGY NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA),NIGERIA,INCLUDED,passed filters,False,False,False,False
