Date,High Risk
2020-04-02,1112.8730694050907
2020-04-03,1112.4335736106555
2020-04-05,1108.41661894299
2020-04-06,1116.2523001900615
2020-04-07,1120.0432911274927
2020-04-08,1132.7977888450619
2020-04-09,1146.0842919238974
2020-04-10,1151.5449055783063
2020-04-12,1149.0978089584528
2020-04-13,1151.3143431048184
2020-04-14,1155.1760009382883
2020-04-15,1156.4650365003656
2020-04-16,1153.368738827065
2020-04-17,1155.1735262545246
2020-04-20,1161.9295802869572
2020-04-21,1154.5241701393295
2020-04-22,1153.7426203584766
2020-04-23,1164.9144474267305
2020-04-24,1162.007057472804
2020-04-26,1167.0624967041467
2020-04-27,1167.6601492928758
2020-04-28,1160.9881142041152
2020-04-29,1166.6561814512493
2020-04-30,1167.4540595358183
2020-05-03,1167.4540595358183
2020-05-04,1171.1297257485376
2020-05-05,1180.7465870456738
2020-05-06,1194.218706237256
2020-05-07,1186.9353346998232
2020-05-08,1184.588193584063
2020-05-10,1177.9393645324633
2020-05-11,1172.728759963182
2020-05-12,1182.590127348275
2020-05-13,1181.5106288203765
2020-05-14,1178.9164188112
2020-05-15,1182.9339057465022
2020-05-17,1182.1719948647906
2020-05-18,1187.4404602821992
2020-05-19,1209.2172637768022
2020-05-20,1215.515305776524
2020-05-21,1216.686672902464
2020-05-22,1221.466398524962
2020-05-25,1223.6960773837259
2020-05-26,1231.7707191970665
2020-05-27,1241.9238988001314
2020-05-28,1243.6885417970238
2020-05-29,1265.571336523226
2020-05-31,1269.2691286168122
2020-06-01,1269.2691286168122
2020-06-02,1291.7860754280775
2020-06-03,1310.202229934358
2020-06-04,1313.5070587858484
2020-06-05,1309.7373417435997
2020-06-07,1314.669926864777
2020-06-08,1320.7456442621697
2020-06-09,1320.8517820799602
2020-06-10,1314.156957879546
2020-06-11,1304.2483983779318
2020-06-12,1306.9218667495793
2020-06-14,1306.4738357247907
2020-06-15,1306.4778309396158
2020-06-16,1309.702427499581
2020-06-17,1309.9369543506104
2020-06-18,1305.8343727589643
2020-06-19,1305.4055019975958
2020-06-21,1307.589583127794
2020-06-22,1310.496598729809
2020-06-23,1305.5106411680645
2020-06-24,1313.3455939282724
2020-06-25,1311.540729826376
2020-06-26,1305.4095998784173
2020-06-28,1303.8603891731007
2020-06-29,1298.1412232456537
2020-06-30,1295.7837773857211
2020-07-01,1295.7837773857211
2020-07-02,1288.258600244545
2020-07-03,1287.071957551846
2020-07-05,1292.3616756829758
2020-07-06,1295.0609747288556
2020-07-07,1284.2956500057273
2020-07-08,1287.6075714684891
2020-07-09,1289.6114164009052
2020-07-10,1284.2814069540284
2020-07-12,1288.740323482078
2020-07-13,1291.5579880032326
2020-07-14,1288.2937503440671
2020-07-15,1281.514948454559
2020-07-16,1285.550694992289
2020-07-17,1286.5918619859306
2020-07-19,1285.927369644631
2020-07-20,1288.9814101788156
