Rank,Company,Country,Liquidity,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD
79.0,CIH BANK (MOROCCO),MOROCCO,1079226.34419069,1079226.34419069,1079226.34419069,215845.268838138
80.0,PSG KONSULT (SOUTH AFRICA),SOUTH AFRICA,1064625.7856483648,1064625.7856483648,1064625.7856483648,212925.15712967297
81.0,FIRST HOLDCO NIGERIA (NIGERIA),NIGERIA,1045710.3281657076,1045710.3281657076,1045710.3281657076,209142.06563314155
82.0,EMAAR MISR EGYPT (EGYPT),EGYPT,958458.6827029026,958458.6827029026,958458.6827029026,191691.73654058052
83.0,ALEXANDRIA CONTAINERS AND GOODS (EGYPT),EGYPT,935175.481831187,935175.481831187,935175.481831187,187035.0963662374
84.0,BANK OF AFRICA MOROCCO (MOROCCO),MOROCCO,812139.7779971202,812139.7779971202,812139.7779971202,162427.95559942405
85.0,EDITA FOOD INDUSTRIES COMPANY (EGYPT),EGYPT,802821.0203529549,802821.0203529549,802821.0203529549,160564.204070591
86.0,CRDB BANK PLC TANZANIA (TANZANIA),TANZANIA,786569.365015881,786569.365015881,786569.365015881,157313.8730031762
87.0,CIMENTS DU MAROC MOROCCO (MOROCCO),MOROCCO,754883.8014653584,754883.8014653584,754883.8014653584,150976.76029307168
88.0,MTN NIGERIA (NIGERIA),NIGERIA,715050.0542328389,715050.0542328389,715050.0542328389,143010.01084656778
89.0,COSUMAR MOROCCO (MOROCCO),MOROCCO,713937.2399447213,713937.2399447213,713937.2399447213,142787.44798894427
90.0,IBNSINA PHARMA (EGYPT),EGYPT,708368.7983466964,708368.7983466964,708368.7983466964,141673.75966933928
91.0,MCB GROUP LTD MAURITIUS (MAURITIUS),MAURITIUS,666674.3691565221,666674.3691565221,666674.3691565221,133334.87383130443
92.0,PPC (SOUTH AFRICA),SOUTH AFRICA,664217.2610623161,664217.2610623161,664217.2610623161,132843.45221246322
93.0,SONATEL SENEGAL (SENEGAL),SENEGAL,655549.5467677654,655549.5467677654,655549.5467677654,131109.90935355308
94.0,GRINDROD (SOUTH AFRICA),SOUTH AFRICA,608564.5668977236,608564.5668977236,608564.5668977236,121712.91337954473
95.0,GB AUTO EGYPT (EGYPT),EGYPT,601731.0896676768,601731.0896676768,601731.0896676768,120346.21793353537
96.0,MANAGEM MOROCCO (MOROCCO),MOROCCO,570822.6492089466,570822.6492089466,570822.6492089466,114164.52984178934
97.0,MTN GHANA (GHANA),GHANA,559338.530459028,559338.530459028,559338.530459028,111867.7060918056
