Company,CoveragePct,FirstValidDate,LastValidDate,LargeGapCount,MaxGapDays,LatestAvgDailyUSDLiquidity,MeanAvgDailyUSDLiquidity,LiquidityTier,LatestRank,AM100,AM200,AM300,Status,Reason
CRDB BANK PLC TANZANIA (TANZANIA),0.6585496387476586,2016-01-04,2026-12-03,12,31,3066986154.5614033,266802571.16036782,AM100-scale,7.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
AVI (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,69737750.01034482,76599051.17437989,AM100-scale,104.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
JULIUS BERGER NIGERIA (NIGERIA),0.6601552047096602,2016-01-04,2026-12-03,12,31,67171524.47176471,19086020.433147494,AM100-scale,109.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),0.6438319507626439,2016-01-06,2026-12-03,12,61,64876224.00738095,12945100.929606048,AM100-scale,106.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
SPAR (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,63465628.375287354,123849233.33172472,AM100-scale,101.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
NATIONAL INVESTMENT COMPANY TANZANIA (TANZANIA),0.5151190794755152,2018-01-08,2026-12-03,14,31,61464543.65497076,6820466.589289857,AM100-scale,118.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
HONEYWELL FLOUR MILLS NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,56827656.71452942,11329166.868398469,AM100-scale,113.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
LIFE HEALTHCARE (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,56754410.64367816,67512446.18470906,AM100-scale,108.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
GB AUTO EGYPT (EGYPT),0.6438319507626439,2016-01-06,2026-12-03,12,61,56320090.522380956,17517472.192587387,AM100-scale,121.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
DCB COMMERCIAL BANK PLC TANZANIA (TANZANIA),0.658014450093658,2016-01-04,2026-12-03,12,31,55729688.918128654,3331604.900636413,AM100-scale,124.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
ATTIJARIWAFA BANK MOROCCO (MOROCCO),0.6612255820176612,2016-01-04,2026-12-03,11,59,53088428.19509203,28363964.893811516,AM100-scale,111.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
INTERNATIONAL BREWERIES NIGERIA (NIGERIA),0.6601552047096602,2016-01-04,2026-12-03,12,31,52746610.249,23777763.38149991,AM100-scale,103.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
BANK OF KIGALI RWANDA (RWANDA),0.643029167781643,2016-01-08,2026-12-03,12,31,50735351.744186044,16290234.823434543,AM100-scale,116.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
TOTALENERGIES MARKETING NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,43729634.8,25308291.98665136,AM100-scale,159.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),0.6435643564356436,2016-01-06,2026-12-03,12,61,42659679.957559526,24516167.170664247,AM100-scale,107.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
QUILTER (SOUTH AFRICA),0.5185978057265186,2018-01-08,2026-12-03,15,31,41786220.44885058,59068073.80321348,AM100-scale,123.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
EMAAR MISR EGYPT (EGYPT),0.6438319507626439,2016-01-06,2026-12-03,12,61,40182012.72535714,25414876.283716917,AM100-scale,129.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
AXA MANSARD NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,40074888.03394117,8736567.472980442,AM100-scale,126.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
DAR ES SALAAM STOCK EXCHANGE PLC (TANZANIA),0.6395504415306396,2016-01-08,2026-12-03,16,31,39021750.81871345,20068954.539279938,AM100-scale,122.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
MARSA MAROC MOROCCO (MOROCCO),0.6406208188386406,2016-01-08,2026-12-03,14,59,34656764.53374233,10438285.190562587,AM100-scale,130.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
EAST AFRICAN BREWERIES KENYA (KENYA),0.6617607706716617,2016-01-04,2026-12-03,12,31,34609074.011764705,41651626.032762304,AM100-scale,119.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
SANTAM (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,34157702.11551724,15706240.883314399,AM100-scale,127.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
