Date,Country,Weight
2017-12-31,SOUTH AFRICA,0.3999999999999999
2017-12-31,TANZANIA,0.060695993318340344
2017-12-31,UGANDA,0.002527804314281801
2018-01-31,EGYPT,0.04263842548434166
2018-01-31,KENYA,0.03641623659439252
2018-01-31,MALAWI,0.0016461326323112119
2018-01-31,MAURITIUS,0.0025393180651502997
2018-01-31,MOROCCO,0.0057828353873961465
2018-01-31,NAMIBIA,0.004790881333438909
2018-01-31,NIGER,0.004622486189853608
2018-01-31,NIGERIA,0.355379226771056
2018-01-31,SENEGAL,0.04131978213660291
2018-01-31,SOUTH AFRICA,0.4
2018-01-31,TANZANIA,0.09227719537166336
2018-01-31,TUNISIA,0.0014879044588281146
2018-01-31,UGANDA,0.011099575574965182
2018-02-28,EGYPT,0.055417771258658315
2018-02-28,KENYA,0.04586659184074233
2018-02-28,MALAWI,0.00433674550720566
2018-02-28,MAURITIUS,0.001238061841366238
2018-02-28,MOROCCO,0.0026843212487417892
2018-02-28,NAMIBIA,0.005512750599456028
2018-02-28,NIGER,0.004625648835744321
2018-02-28,NIGERIA,0.334263330932482
2018-02-28,RWANDA,0.0014462991784398365
2018-02-28,SENEGAL,0.029291959647661875
2018-02-28,SOUTH AFRICA,0.4
2018-02-28,TANZANIA,0.11531651910950172
2018-03-31,EGYPT,0.10075894970800164
2018-03-31,KENYA,0.049211728139481596
2018-03-31,MALAWI,0.0021836741992722324
2018-03-31,MOROCCO,0.0035409479870205604
2018-03-31,NAMIBIA,0.006249748861562842
2018-03-31,NIGER,0.009750096088540184
2018-03-31,NIGERIA,0.3426214827290749
2018-03-31,RWANDA,0.0012341901916552475
2018-03-31,SENEGAL,0.03565078535990426
2018-03-31,SOUTH AFRICA,0.4
2018-03-31,TANZANIA,0.04879839673548649
2018-04-30,EGYPT,0.11673727094793021
2018-04-30,KENYA,0.059840806203254694
2018-04-30,MALAWI,0.0026918341413092878
2018-04-30,MAURITIUS,0.0010970145961717588
2018-04-30,MOROCCO,0.0026369796965526352
2018-04-30,NAMIBIA,0.006723933899046445
2018-04-30,NIGER,0.008813341936235817
2018-04-30,NIGERIA,0.32720195935418367
2018-04-30,SENEGAL,0.024551534884881727
2018-04-30,SOUTH AFRICA,0.4
2018-04-30,TANZANIA,0.048515585917247445
2018-04-30,UGANDA,0.0011897384231864033
2018-05-31,EGYPT,0.06371425227499118
2018-05-31,KENYA,0.06321065653162976
2018-05-31,MALAWI,0.0073872787830639945
2018-05-31,MAURITIUS,0.0017995626823136372
2018-05-31,MOROCCO,0.001645384631458217
2018-05-31,NAMIBIA,0.006065565401696496
2018-05-31,NIGER,0.008350714821462667
2018-05-31,NIGERIA,0.31197441733868037
2018-05-31,RWANDA,0.004908773904662421
2018-05-31,SENEGAL,0.01987929102333039
2018-05-31,SOUTH AFRICA,0.4
2018-05-31,TANZANIA,0.10646900874669497
2018-05-31,UGANDA,0.004595093860015716
2018-06-30,EGYPT,0.034703008781921986
2018-06-30,KENYA,0.05632676839271791
2018-06-30,MALAWI,0.006990739723659179
2018-06-30,MAURITIUS,0.004784489767311657
2018-06-30,MOROCCO,0.009499476515231094
2018-06-30,NAMIBIA,0.008563012227413343
2018-06-30,NIGER,0.007763176691972502
2018-06-30,NIGERIA,0.3558917969314148
2018-06-30,RWANDA,0.002798227374055076
2018-06-30,SENEGAL,0.03002077165253107
2018-06-30,SOUTH AFRICA,0.4
2018-06-30,TANZANIA,0.07707359106484839
2018-06-30,UGANDA,0.005584940876922962
2018-07-31,EGYPT,0.048677813713521985
2018-07-31,KENYA,0.057800673707425206
2018-07-31,MALAWI,0.002174638270864184
2018-07-31,MAURITIUS,0.0032666063270350523
2018-07-31,MOROCCO,0.0126396981273941
2018-07-31,NAMIBIA,0.0060013598259855425
2018-07-31,NIGER,0.014794367364249045
2018-07-31,NIGERIA,0.372544114353055
2018-07-31,RWANDA,0.001643761541149794
2018-07-31,SENEGAL,0.03965655902195673
2018-07-31,SOUTH AFRICA,0.4
2018-07-31,TANZANIA,0.03909167651175702
2018-07-31,UGANDA,0.0017087312356063632
2018-08-31,EGYPT,0.03588963631243293
2018-08-31,KENYA,0.05708647094538687
2018-08-31,MALAWI,0.013549434287488171
2018-08-31,MAURITIUS,0.0024118898370675875
2018-08-31,MOROCCO,0.0013752513829087254
2018-08-31,NAMIBIA,0.006953637432836041
2018-08-31,NIGER,0.0064433359886923265
2018-08-31,NIGERIA,0.37160287362020344
2018-08-31,RWANDA,0.0010955794120753803
2018-08-31,SENEGAL,0.031588966487760155
2018-08-31,SOUTH AFRICA,0.4
2018-08-31,TANZANIA,0.0691178251526315
2018-08-31,UGANDA,0.0028850991405168103
2018-09-30,EGYPT,0.0671419897324687
2018-09-30,KENYA,0.061307229671610515
2018-09-30,MALAWI,0.005384678510102306
2018-09-30,MAURITIUS,0.0023078123891161055
2018-09-30,MOROCCO,0.004980334228888407
2018-09-30,NAMIBIA,0.006499827412970549
2018-09-30,NIGER,0.009497580324162496
2018-09-30,NIGERIA,0.3529222596783936
2018-09-30,RWANDA,0.0015274565105187936
2018-09-30,SENEGAL,0.04329004250803222
2018-09-30,SOUTH AFRICA,0.39999999999999997
2018-09-30,TANZANIA,0.038517250807250075
2018-09-30,UGANDA,0.006623538226486246
2018-10-31,EGYPT,0.09667639804839467
2018-10-31,KENYA,0.05244546008943926
